trade_id,limit_created_bar,limit_created_time_utc,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00762,23903,2025-08-14 23:20:03,LONG,AVAILABLE,0.963713138798016,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.368209359556815,AVAILABLE,Thursday,True
L00763,23924,2025-08-15 01:05:03,SHORT,AVAILABLE,1.2109814688310498,AVAILABLE,NEUTRAL,AVAILABLE,1.469725297346727,AVAILABLE,Friday,True
L00764,23939,2025-08-15 02:20:03,SHORT,AVAILABLE,0.5418155133818757,AVAILABLE,NEUTRAL,AVAILABLE,1.3804401086747375,AVAILABLE,Friday,True
L00765,23969,2025-08-15 04:50:03,SHORT,AVAILABLE,-0.0419951964653096,AVAILABLE,NEUTRAL,AVAILABLE,1.6692656889414983,AVAILABLE,Friday,True
L00766,23974,2025-08-15 05:15:03,SHORT,AVAILABLE,2.2425334371744503,AVAILABLE,NEUTRAL,AVAILABLE,2.2469770676368013,AVAILABLE,Friday,True
L00767,24048,2025-08-15 11:25:03,LONG,AVAILABLE,0.2044782727091818,AVAILABLE,NEUTRAL,AVAILABLE,0.7922960433210893,AVAILABLE,Friday,True
L00768,24055,2025-08-15 12:00:03,SHORT,AVAILABLE,0.4422769253616207,AVAILABLE,NEUTRAL,AVAILABLE,1.3438706649220609,AVAILABLE,Friday,True
L00769,24062,2025-08-15 12:35:03,LONG,AVAILABLE,1.11626322670103,AVAILABLE,NEUTRAL,AVAILABLE,2.4403498725862725,AVAILABLE,Friday,True
L00770,24079,2025-08-15 14:00:03,LONG,AVAILABLE,0.6127161556833928,AVAILABLE,NEUTRAL,AVAILABLE,1.451171955796432,AVAILABLE,Friday,True
L00771,24187,2025-08-18 00:05:03,LONG,AVAILABLE,1.8318820354546688,AVAILABLE,NEUTRAL,AVAILABLE,2.9358502886765643,AVAILABLE,Monday,True
L00772,24213,2025-08-18 02:15:03,SHORT,AVAILABLE,1.052445334421991,AVAILABLE,NEUTRAL,AVAILABLE,1.6187304099785207,AVAILABLE,Monday,True
L00773,24233,2025-08-18 03:55:03,SHORT,AVAILABLE,0.6114179292254638,AVAILABLE,NEUTRAL,AVAILABLE,2.5393055841023293,AVAILABLE,Monday,True
L00774,24249,2025-08-18 05:15:03,SHORT,AVAILABLE,1.4266454557518344,AVAILABLE,NEUTRAL,AVAILABLE,2.298717583890531,AVAILABLE,Monday,True
L00775,24323,2025-08-18 11:25:03,LONG,AVAILABLE,0.3975681160045837,AVAILABLE,NEUTRAL,AVAILABLE,0.4233781685061383,AVAILABLE,Monday,True
L00776,24324,2025-08-18 11:30:03,SHORT,AVAILABLE,0.6237126895381945,AVAILABLE,NEUTRAL,AVAILABLE,0.3182558059705105,AVAILABLE,Monday,True
L00777,24332,2025-08-18 12:10:03,LONG,AVAILABLE,1.0939541603263978,AVAILABLE,NEUTRAL,AVAILABLE,1.7307110838442383,AVAILABLE,Monday,True
L00778,24360,2025-08-18 14:30:03,LONG,AVAILABLE,0.633319847564041,AVAILABLE,NEUTRAL,AVAILABLE,2.125992494604008,AVAILABLE,Monday,True
L00779,24373,2025-08-18 15:35:03,LONG,AVAILABLE,0.5654291236260011,AVAILABLE,NEUTRAL,AVAILABLE,1.1697881727834265,AVAILABLE,Monday,True
L00780,24385,2025-08-18 16:35:03,LONG,AVAILABLE,1.073011741411122,AVAILABLE,NEUTRAL,AVAILABLE,0.938877031602391,AVAILABLE,Monday,True
L00781,24418,2025-08-18 19:20:03,LONG,AVAILABLE,1.2655826265161894,AVAILABLE,NEUTRAL,AVAILABLE,1.3761120032384495,AVAILABLE,Monday,True
L00782,24440,2025-08-18 22:10:03,SHORT,AVAILABLE,-0.3896850867848756,AVAILABLE,NEUTRAL,AVAILABLE,1.2980235540984053,AVAILABLE,Monday,True
L00783,24446,2025-08-18 22:40:03,SHORT,AVAILABLE,0.5854010293960895,AVAILABLE,NEUTRAL,AVAILABLE,1.3115780987373913,AVAILABLE,Monday,True
