trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,time_to_fill_bars,exit_bar,outcome,pnl_usd,pnl_r,origin_bar,atr_short,atr_long_primary,atr_long_alt,atr_ratio_short_long,atr_ratio_short_long_alt,atr_pct_rank_causal,hour_utc_cont,hour_sin,hour_cos,weekday_num,adx_m5,dist_ema_m5_price,dist_ema_m5_atr,dist_ema_m5_signed_atr,rsi_level_m5,momentum_roc_atr_10,atr_regime_bucket
L00001,XAU,SHORT,17,2025-04-14T20:15:03+00:00,20,Nueva York,Monday,sub1,FILLED_CLOSED,True,18.0,1.0,21.0,win,2.619672128487764,0.9426088084416147,15,2.2628985318617656,,,,,,20.25,-0.8314696123025455,0.5555702330196018,0,,0.28838071151267286,0.12743864006814834,0.12743864006814834,67.59544381746534,0.1772063547497745,
L00002,XAU,SHORT,35,2025-04-14T22:45:03+00:00,22,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,36.0,1.0,63.0,loss,-2.8813404611987607,-1.0586000547326315,34,1.7405817076822634,,,,,,22.75,-0.32143946530316186,0.9469301294951056,0,24.613250234822146,0.08676853880115232,0.04985031062787176,0.04985031062787176,57.36206175896192,-1.246135122773456,
L00003,XAU,SHORT,76,2025-04-15T02:10:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,77.0,1.0,86.0,loss,-5.426010078356285,-1.0303835347101713,69,2.857572486246526,,,,,,2.1666666666666665,0.5372996083468238,0.8433914458128857,1,32.07972826716294,1.5970291216435726,0.558876154263824,0.558876154263824,52.8809308747316,1.7462374179540896,
L00005,XAU,LONG,194,2025-04-15T12:00:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,195.0,1.0,196.0,win,3.599967120538622,0.9575737744510686,191,2.3330010202919564,2.2639187449297116,,1.0305144676755569,,,12.0,1.2246467991473532e-16,-1.0,1,31.795447794939587,0.8322039194617901,0.3567096251666647,0.3567096251666647,47.495052379694314,-0.31461623617638595,Normal
L00007,XAU,LONG,202,2025-04-15T12:40:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,205.0,3.0,207.0,win,5.631995802214078,0.9724596191645718,199,3.2977676703617465,2.3674907068778155,,1.392937957805442,,,12.666666666666666,-0.17364817766693003,-0.9848077530122081,1,24.513904866433524,0.5230747977866486,0.15861481161566188,0.15861481161566188,48.44643945301692,0.701080315869033,Expansion
L00008,XAU,SHORT,210,2025-04-15T13:20:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,211.0,1.0,213.0,win,4.658204350378128,0.9669933039093138,207,3.327468239680223,2.4146135204019616,,1.3780541737073924,,,13.333333333333334,-0.34202014332566866,-0.9396926207859084,1,15.846368825110902,1.3708500096222451,0.4119798930835135,0.4119798930835135,46.19629392111438,-0.3699509390714797,Expansion
L00010,XAU,SHORT,230,2025-04-15T15:00:03+00:00,15,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,234.0,4.0,261.0,loss,-5.620114104785898,-1.0293034169120399,223,3.462840734597175,2.563827349793094,,1.3506528569003031,,,15.0,-0.7071067811865471,-0.7071067811865479,1,13.799711694433963,2.6179603352143204,0.7560152302294267,0.7560152302294267,44.52588960316718,0.36588457197632784,Expansion
L00011,XAU,SHORT,282,2025-04-15T19:20:03+00:00,19,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,283.0,1.0,290.0,loss,-3.46598064439695,-1.0483971375546373,281,1.835085678497742,2.3788949304616116,,0.7714025764650537,,,19.333333333333332,-0.9396926207859085,0.34202014332566816,1,33.37516804236282,1.8722937956031274,1.0202759563443626,1.0202759563443626,48.649537637126244,0.3934421201473595,Compression
L00012,XAU,SHORT,293,2025-04-15T20:15:03+00:00,20,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,296.0,3.0,307.0,loss,-4.643796012316216,-1.035568570754846,291,2.013823030613085,2.3574555667830657,2.377637238383098,0.8542358375649495,0.8469849807629092,,20.25,-0.8314696123025455,0.5555702330196018,1,25.702179560760325,1.5510509476835068,0.7702022094817872,0.7702022094817872,48.40840739157394,-0.470249860888627,Compression
L00013,XAU,SHORT,324,2025-04-15T23:50:03+00:00,23,Post-NY / transicion,Tuesday,sub1,FILLED_CLOSED,True,325.0,1.0,325.0,loss,-7.303280223200545,-1.0223986732986043,321,2.462840400137707,2.3433783689645518,2.366393938211457,1.0509785499240316,1.0407567228637955,0.6423611111111112,23.833333333333332,-0.043619387365336194,0.9990482215818578,1,47.914139059388674,0.48166741679915503,0.1955739465587064,0.1955739465587064,59.91802304628625,-0.4230887230620604,Normal
L00016,XAU,SHORT,358,2025-04-16T02:40:03+00:00,2,Asia,Wednesday,sub1,FILLED_CLOSED,True,359.0,1.0,367.0,loss,-5.267386613739291,-1.0312262217353687,351,3.8319806274024053,2.7683308169711354,2.6138287908651985,1.3842206299588942,1.466041173314182,0.9166666666666666,2.6666666666666665,0.6427876096865393,0.766044443118978,2,37.167277697852796,1.0681303462606593,0.2787410611166674,0.2787410611166674,55.75354522364177,-0.2116399008388122,Expansion
L00018,XAU,SHORT,398,2025-04-16T06:00:03+00:00,6,Asia,Wednesday,sub1,FILLED_CLOSED,True,399.0,1.0,402.0,loss,-4.462484833350572,-1.0370672930946743,392,3.2834077567023834,2.8823754234784866,2.70051970796232,1.1391325813970221,1.21584291609554,0.6944444444444444,6.0,1.0,6.123233995736766e-17,2,29.19485496323578,0.5786865666491394,0.17624572076613787,0.17624572076613787,58.03500160074231,0.06730811899584474,Expansion
L00019,XAU,SHORT,406,2025-04-16T06:40:03+00:00,6,Asia,Wednesday,sub1,FILLED_CLOSED,True,407.0,1.0,410.0,loss,-5.846142631292423,-1.0279578006580623,405,3.3063212526572956,2.8960991633589357,2.713020281778563,1.141646423744199,1.2186865224943269,0.7118055555555556,6.666666666666667,0.984807753012208,-0.1736481776669303,2,31.57427601154433,0.6486590487070316,0.19618754474801967,0.19618754474801967,55.668076425782765,0.32180780955411165,Expansion
L00022,XAU,SHORT,477,2025-04-16T12:35:03+00:00,12,Londres/NY (overlap),Wednesday,sub1,FILLED_CLOSED,True,478.0,1.0,493.0,loss,-8.681225430254017,-1.0186570985830992,469,3.9850039616217487,3.437033482630053,3.0885985528810163,1.1594312309615278,1.290230469707555,0.8125,12.583333333333334,-0.15212338618991683,-0.9883615104677607,2,20.55901232046952,1.7253234897457332,0.43295402121597654,0.43295402121597654,48.71726905120762,1.7874511715921233,Expansion
L00023,XAU,SHORT,500,2025-04-16T14:30:03+00:00,14,Londres/NY (overlap),Wednesday,sub1,FILLED_CLOSED,True,501.0,1.0,514.0,loss,-9.864892912444702,-1.0164341620621284,494,5.1809120297089555,3.711899066800638,3.2727953264185974,1.3957577877176734,1.5830235358403546,0.9340277777777778,14.5,-0.6087614290087207,-0.7933533402912352,2,17.267906203654,0.0883918875551899,0.017061067056982133,0.017061067056982133,52.57542825726798,-2.147112310769095,Expansion
L00024,XAU,SHORT,526,2025-04-16T16:40:03+00:00,16,Nueva York,Wednesday,sub1,FILLED_CLOSED,True,527.0,1.0,546.0,loss,-7.2847549561297456,-1.0224569126917404,523,4.133207179648472,3.76151886258245,3.339643789984226,1.0988133598805991,1.2376191712553852,0.6805555555555556,16.666666666666668,-0.9396926207859084,-0.34202014332566855,2,37.69546163612633,3.3705629238702386,0.8154836613239659,0.8154836613239659,52.50822862441087,1.3195564032829439,Normal
L00025,XAU,SHORT,562,2025-04-16T19:40:03+00:00,19,Nueva York,Wednesday,sub1,FILLED_CLOSED,True,563.0,1.0,568.0,win,3.8554208508594456,0.9602731894538794,555,2.7891541534409234,3.5842311054876235,3.2867775905289456,0.77817363650759,0.8485983844717833,0.18055555555555555,19.666666666666668,-0.9063077870366498,0.4226182617406996,2,32.2050468569274,0.51877902914066,0.185998693726072,0.185998693726072,56.34023308151938,0.6887392715924011,Compression
