trade_id,limit_created_bar,direction,direction_sign,sub_periodo,pnl_r,pnl_usd,outcome,closed_ema200_slope,momentum_roc_atr_10,B0_state,B0_alignment,B1_state,B1_alignment,state_changed,alignment_changed
L00001,17,SHORT,-1,sub1,0.9426088084416148,2.619672128487764,win,,0.1772063547497745,,UNAVAILABLE,,UNAVAILABLE,True,False
L00002,35,SHORT,-1,sub1,-1.0586000547326315,-2.8813404611987607,loss,,-1.246135122773456,,UNAVAILABLE,,UNAVAILABLE,True,False
L00003,76,SHORT,-1,sub1,-1.0303835347101713,-5.426010078356285,loss,,1.7462374179540896,,UNAVAILABLE,,UNAVAILABLE,True,False
L00005,194,LONG,1,sub1,0.9575737744510686,3.599967120538622,win,,-0.3146162361763859,,UNAVAILABLE,,UNAVAILABLE,True,False
L00007,202,LONG,1,sub1,0.9724596191645718,5.631995802214078,win,,0.701080315869033,,UNAVAILABLE,,UNAVAILABLE,True,False
L00008,210,SHORT,-1,sub1,0.9669933039093138,4.658204350378128,win,,-0.3699509390714797,,UNAVAILABLE,,UNAVAILABLE,True,False
L00010,230,SHORT,-1,sub1,-1.02930341691204,-5.620114104785898,loss,,0.3658845719763278,,UNAVAILABLE,,UNAVAILABLE,True,False
L00011,282,SHORT,-1,sub1,-1.0483971375546373,-3.46598064439695,loss,,0.3934421201473595,,UNAVAILABLE,,UNAVAILABLE,True,False
L00012,293,SHORT,-1,sub1,-1.035568570754846,-4.643796012316216,loss,,-0.470249860888627,,UNAVAILABLE,,UNAVAILABLE,True,False
L00013,324,SHORT,-1,sub1,-1.0223986732986043,-7.303280223200545,loss,,-0.4230887230620604,,UNAVAILABLE,,UNAVAILABLE,True,False
L00016,358,SHORT,-1,sub1,-1.0312262217353687,-5.267386613739291,loss,,-0.2116399008388122,,UNAVAILABLE,,UNAVAILABLE,True,False
L00018,398,SHORT,-1,sub1,-1.0370672930946745,-4.462484833350572,loss,,0.0673081189958447,,UNAVAILABLE,,UNAVAILABLE,True,False
L00019,406,SHORT,-1,sub1,-1.0279578006580623,-5.846142631292423,loss,,0.3218078095541116,,UNAVAILABLE,,UNAVAILABLE,True,False
L00022,477,SHORT,-1,sub1,-1.0186570985830992,-8.681225430254017,loss,,1.7874511715921233,,UNAVAILABLE,,UNAVAILABLE,True,False
L00023,500,SHORT,-1,sub1,-1.0164341620621284,-9.864892912444702,loss,,-2.147112310769095,,UNAVAILABLE,,UNAVAILABLE,True,False
L00024,526,SHORT,-1,sub1,-1.0224569126917404,-7.2847549561297456,loss,,1.319556403282944,,UNAVAILABLE,,UNAVAILABLE,True,False
L00025,562,SHORT,-1,sub1,0.9602731894538794,3.8554208508594456,win,,0.6887392715924011,,UNAVAILABLE,,UNAVAILABLE,True,False
L00026,591,SHORT,-1,sub1,0.9776534947047104,6.9562065120971965,win,,1.441329497992254,,UNAVAILABLE,1.0,AGAINST,True,True
L00027,614,LONG,1,sub1,0.9642062211638924,4.310050528402371,win,,0.399552332538092,1.0,ALIGNED,1.0,ALIGNED,False,False
L00028,629,LONG,1,sub1,-1.0107002869052448,-15.065642369095713,loss,,-2.093653413238971,1.0,ALIGNED,1.0,ALIGNED,False,False
L00029,694,LONG,1,sub1,-1.01770554364677,-9.16797797626623,loss,,-1.2366838696151876,1.0,ALIGNED,1.0,ALIGNED,False,False
L00031,739,SHORT,-1,sub1,0.9651576352974056,4.4044101289291575,win,,0.6009282630977115,1.0,AGAINST,1.0,AGAINST,False,False
L00033,750,SHORT,-1,sub1,0.9878151360019114,12.930510690704068,win,,-0.4608794284884992,1.0,AGAINST,1.0,AGAINST,False,False
L00034,784,LONG,1,sub1,0.989840771195244,15.540510607605029,win,,-0.8839318271092858,1.0,ALIGNED,1.0,ALIGNED,False,False
L00035,915,SHORT,-1,sub1,0.9595989781754546,3.776544023865881,win,,-0.3115802117675261,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00037,994,SHORT,-1,sub1,-1.0461800661719611,-3.6246983701594218,loss,,-0.0753981832508897,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00040,1025,SHORT,-1,sub1,-1.024159460916752,-6.740272676055156,loss,,-0.9256475851422156,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00041,1039,SHORT,-1,sub1,-1.0135233977956346,-11.916400203887406,loss,,-0.0878380428858375,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00044,1142,SHORT,-1,sub1,-1.0294765046610432,-5.588051997335697,loss,,0.998879774980988,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00045,1150,SHORT,-1,sub1,0.9781488120246932,7.139874303127272,win,,-1.4509138799982613,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00046,1157,LONG,1,sub1,0.9905858281713886,16.835653246267157,win,,-1.6238731141289489,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00047,1178,SHORT,-1,sub1,-1.015331542341304,-10.529776563770156,loss,,-1.5095629778703288,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00048,1203,SHORT,-1,sub1,-1.0136655654249584,-11.794083880924063,loss,,0.9172807348049912,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00051,1298,SHORT,-1,sub1,-1.027569620688486,-5.963489348211169,loss,,0.3207200298093579,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00052,1301,SHORT,-1,sub1,0.982266897730546,8.80728224343693,win,,-0.4239151137824403,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00053,1311,LONG,1,sub1,-1.0076364424021895,-20.980213809464203,loss,,-1.2787209092300562,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00054,1321,LONG,1,sub1,-1.0075667614869424,-21.17195253907857,loss,,-1.260895788888223,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00055,1359,LONG,1,sub1,-1.0070725738865864,-22.711402964528133,loss,,-0.1471368986793959,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00056,1393,LONG,1,sub1,-1.0154380881091587,-10.491090211946355,loss,,-0.5513237531472576,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00057,1418,LONG,1,sub1,0.9118597078905134,18.698545201028477,win,,1.316431432792987,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00058,1447,SHORT,-1,sub1,-1.0094642260272086,-17.01243647269257,loss,,-0.6825241709537874,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00059,1454,SHORT,-1,sub1,0.987211549731842,12.312691442687536,win,,0.0596903289328765,0.0,NEUTRAL_MIXED,1.0,AGAINST,True,True
L00060,1519,LONG,1,sub1,0.9915882073048504,18.74303500751239,win,,-0.3171614852401412,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00062,1577,LONG,1,sub1,-1.0125531372879537,-12.90581774497059,loss,,-1.2163784859469953,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00063,1605,LONG,1,sub1,0.9926027172819202,21.33537922806954,win,,1.4069815883615455,0.0,NEUTRAL_MIXED,1.0,ALIGNED,True,True
L00064,1727,SHORT,-1,sub1,0.9897788904250618,15.397041037806504,win,,-1.9127418695201648,-1.0,ALIGNED,0.0,NEUTRAL_MIXED,True,True
L00065,1848,SHORT,-1,sub1,-1.0236336713827312,-6.930001893009376,loss,,-0.4698248412330395,-1.0,ALIGNED,0.0,NEUTRAL_MIXED,True,True
L00067,1878,LONG,1,sub1,0.9850445474894544,10.505506617973424,win,,-0.9449563309387702,-1.0,AGAINST,0.0,NEUTRAL_MIXED,True,True
L00068,1946,SHORT,-1,sub1,-1.022827090532775,-7.169215640956281,loss,,-0.4907803988397914,-1.0,ALIGNED,0.0,NEUTRAL_MIXED,True,True
L00071,2003,LONG,1,sub1,-1.0213456853226643,-7.631736079035363,loss,,0.8232404725190917,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00072,2055,LONG,1,sub1,0.98798654863521,13.15840410731562,win,,-1.3928683030920648,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00073,2114,LONG,1,sub1,-1.036562183772306,-4.521930892887667,loss,,-1.5036099031656054,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00075,2121,LONG,1,sub1,-1.019752553867486,-8.234405203133974,loss,,0.0170217451584948,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00076,2142,LONG,1,sub1,0.9894909686949254,14.970843596800025,win,,-1.5764044934946897,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00077,2234,SHORT,-1,sub1,0.98911783352101,14.49750789522932,win,,-0.0706859365545871,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00078,2252,LONG,1,sub1,0.9803934836078432,7.975550450041283,win,,-0.1638776618957324,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00079,2284,LONG,1,sub1,0.9866551171247648,11.79264686340548,win,,-1.2889661669679144,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00080,2406,SHORT,-1,sub1,0.97049295731341,5.2295440736465935,win,,-0.4070173569252845,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00081,2411,LONG,1,sub1,0.9867672911037172,11.856680330149176,win,,-0.6432395366076078,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00082,2439,SHORT,-1,sub1,-1.0146198436398195,-11.034629310192033,loss,,1.256356184463546,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00083,2459,SHORT,-1,sub1,-1.035704223418722,-4.641262570073195,loss,,0.0311461591737193,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00084,2466,SHORT,-1,sub1,-1.043899220485448,-3.804711642496841,loss,,0.3819009736154551,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00085,2487,SHORT,-1,sub1,-1.0455393936800974,-3.661962090738143,loss,,0.1087076014480804,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00086,2495,SHORT,-1,sub1,0.9500997861211876,3.036879085410874,win,,0.2109868801333677,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00087,2516,LONG,1,sub1,-1.1049021945350834,-7.465569990761975,loss,,0.5819644704098839,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00088,2544,LONG,1,sub1,0.9791500663320992,7.466923541639062,win,,-0.3922773025895013,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00089,2554,LONG,1,sub1,-1.023098246015155,-7.086932888968022,loss,,-0.0616001966706084,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00090,2576,LONG,1,sub1,-1.019052879073082,-8.55768096916654,loss,,0.6353145225607613,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00092,2668,SHORT,-1,sub1,0.9475555066360424,2.8908446118352917,win,,0.1736855909046326,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00093,2677,LONG,1,sub1,0.9835943987734428,9.562789222875836,win,,-0.4645775381090866,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00095,2700,LONG,1,sub1,0.9835859171044488,9.557765412555456,win,,-1.3132773367585748,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00096,2736,SHORT,-1,sub1,0.9751447051952132,6.277260199748071,win,,-1.3863905721397345,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00099,2789,LONG,1,sub1,-1.056456807172247,-2.994024947809976,loss,,0.643151515281619,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00100,2798,LONG,1,sub1,0.6775461092641676,3.797742477503952,win,,-0.0004049272332829,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00101,2808,SHORT,-1,sub1,0.9813017244358292,8.396938817740192,win,,-0.9275007656599348,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
L00102,2818,LONG,1,sub1,0.9762013953669272,6.54257360721067,win,,-1.147307580380173,0.0,NEUTRAL_MIXED,0.0,NEUTRAL_MIXED,False,False
