trade_id,asset,direction,limit_created_bar,entry_time_utc,hour_utc,session_utc,weekday,sub_periodo,fate,filled,fill_bar,time_to_fill_bars,exit_bar,outcome,pnl_usd,pnl_r,origin_bar,atr_short,atr_long_primary,atr_long_alt,atr_ratio_short_long,atr_ratio_short_long_alt,atr_pct_rank_causal,hour_utc_cont,hour_sin,hour_cos,weekday_num,adx_m5,dist_ema_m5_price,dist_ema_m5_atr,dist_ema_m5_signed_atr,rsi_level_m5,momentum_roc_atr_10,atr_regime_bucket,close_at_signal,daily_open_TV22,D_state_TV22,daily_open_UTC00,D_state_UTC00,daily_open_NY18,D_state_NY18,hch_level_src,hch_pivot_1,hch_pivot_2,hch_pivot_3,hch_active_level,hch_form_bar,HCH_state,combo_state,pine_label,ema50_m5,ema200_m5,ema200_m15_prev,ema200_m15_smooth,E1_px_ema50,E2_px_ema200,E3_px_ema200m15,E4_ema50_vs_ema200,E5_px_all3,roc_atr_3,momentum_status,alignment,alignment_status,origin_dist_atr,structure_status,entry_limit_price,month,D_boundary_primary
L00000,XAU,LONG,1,2025-04-14T18:55:03+00:00,18,Nueva York,Monday,sub1,EXPIRED,False,,,,,,,0,,,,,,,18.916666666666668,-0.9713420698132614,0.237685892326173,0,,3.277153846153851,,,,,,3208.11,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,3202.236,3202.236,,,,,UNAVAILABLE,UNAVAILABLE,,3204.3888823529414,3204.2755373134332,,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,,UNAVAILABLE,3204.8328461538463,2025-04,TV22
L00001,XAU,SHORT,17,2025-04-14T20:15:03+00:00,20,Nueva York,Monday,sub1,FILLED_CLOSED,True,18.0,1.0,21.0,win,2.619672128487764,0.9426088084416148,15,2.2628985318617656,,,,,,20.25,-0.8314696123025455,0.5555702330196018,0,,0.2883807115126728,0.1274386400681483,0.1274386400681483,67.59544381746534,0.1772063547497745,,3210.882,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,3213.821,3213.821,3213.083,3212.895,,,NO_HCH,UNAVAILABLE,,3207.5947263053363,3205.27335590252,3208.257156581932,3208.283274426888,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.9607147511874308,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.1713381095821478,AVAILABLE,3211.1703807115127,2025-04,TV22
L00002,XAU,SHORT,35,2025-04-14T22:45:03+00:00,22,Post-NY / transicion,Monday,sub1,FILLED_CLOSED,True,36.0,1.0,63.0,loss,-2.8813404611987607,-1.0586000547326315,34,1.7405817076822634,,,,,,22.75,-0.3214394653031618,0.9469301294951056,0,24.613250234822143,0.0867685388011523,0.0498503106278717,0.0498503106278717,57.36206175896192,-1.246135122773456,,3212.545,3211.99,AGAINST,3204.624,UNAVAILABLE,3211.99,AGAINST,3215.225,3215.225,3213.961,3213.686,3213.686,27.0,NO_HCH,NEITHER,(normal),3209.9150919918925,3206.3735959338455,3208.4937102765666,3208.5340216170985,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.2763443955987913,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.4898648249336126,AVAILABLE,3212.631768538801,2025-04,TV22
L00003,XAU,SHORT,76,2025-04-15T02:10:03+00:00,2,Asia,Tuesday,sub1,FILLED_CLOSED,True,77.0,1.0,86.0,loss,-5.426010078356285,-1.0303835347101713,69,2.857572486246526,,,,,,2.1666666666666665,0.5372996083468238,0.8433914458128857,1,32.07972826716294,1.5970291216435726,0.558876154263824,0.558876154263824,52.8809308747316,1.7462374179540896,,3219.246,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,3225.98,3225.98,3225.5,3225.213,3213.686,27.0,NO_HCH,NEITHER,(normal),3215.855235344864,3209.583206900289,3209.336241861991,3209.434846420578,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.545367622782584,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.7976694915284046,AVAILABLE,3220.8430291216437,2025-04,TV22
L00004,XAU,SHORT,112,2025-04-15T05:10:03+00:00,5,Asia,Tuesday,sub1,EXPIRED,False,,,,,,,109,2.0557825782984653,,,,,,5.166666666666667,0.9762960071199334,0.2164396139381029,1,36.89570467861876,1.418718469824853,0.6901111454106693,0.6901111454106693,51.7472814111889,0.0681005868411182,,3227.775,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,3232.649,3232.649,3232.012,3230.902,3213.686,27.0,NO_HCH,NEITHER,(normal),3224.534771910224,3214.661808278536,3211.197947748797,3211.362893542341,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.9749170183942,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.6807621421886056,AVAILABLE,3229.193718469825,2025-04,TV22
L00005,XAU,LONG,194,2025-04-15T12:00:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,195.0,1.0,196.0,win,3.599967120538622,0.9575737744510686,191,2.3330010202919564,2.263918744929712,,1.0305144676755569,,,12.0,1.2246467991473532e-16,-1.0,1,31.795447794939587,0.8322039194617901,0.3567096251666647,0.3567096251666647,47.49505237969432,-0.3146162361763859,Normal,3221.239,3211.99,ALIGNED,3212.601,ALIGNED,3211.99,ALIGNED,3216.776,3216.776,3218.09,3218.383,3219.641,187.0,NO_HCH,D_ONLY,D✓,3223.1446339303548,3220.033580656278,3214.4454028996215,3214.51300088072,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.448349130844808,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.556277107878863,AVAILABLE,3220.4067960805382,2025-04,TV22
L00006,XAU,SHORT,198,2025-04-15T12:20:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,,197,2.7704752223177707,2.305385712886584,,1.201740431907529,,,12.333333333333334,-0.0871557427476579,-0.9961946980917455,1,27.15347880275255,2.66882799674886,0.9633105451548224,0.9633105451548224,39.40095728718652,0.8453423373484599,Expansion,3218.101,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,3226.175,3226.175,3224.391,3222.365,3221.845,187.0,NO_HCH,NEITHER,(normal),3222.8774864129455,3220.0863120279905,3214.5376376966406,3214.5730940379676,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.1142492721582309,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.9509909201531352,AVAILABLE,3220.769827996749,2025-04,TV22
L00007,XAU,LONG,202,2025-04-15T12:40:03+00:00,12,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,205.0,3.0,207.0,win,5.631995802214078,0.9724596191645718,199,3.2977676703617465,2.3674907068778155,,1.392937957805442,,,12.666666666666666,-0.17364817766693,-0.984807753012208,1,24.513904866433524,0.5230747977866486,0.1586148116156618,0.1586148116156618,48.44643945301692,0.701080315869033,Expansion,3220.451,3211.99,ALIGNED,3212.601,ALIGNED,3211.99,ALIGNED,3214.265,3214.265,3216.776,3218.09,3219.641,187.0,NO_HCH,D_ONLY,D✓,3222.307415237897,3220.0445036622614,3214.588079112594,3214.646416633862,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.2559307035439124,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.717199562937164,AVAILABLE,3219.9279252022134,2025-04,TV22
L00008,XAU,SHORT,210,2025-04-15T13:20:03+00:00,13,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,211.0,1.0,213.0,win,4.658204350378128,0.9669933039093138,207,3.327468239680223,2.4146135204019616,,1.3780541737073924,,,13.333333333333334,-0.3420201433256686,-0.9396926207859084,1,15.846368825110902,1.3708500096222451,0.4119798930835135,0.4119798930835135,46.19629392111438,-0.3699509390714797,Expansion,3220.3,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,3226.359,3226.359,3226.175,3224.391,3221.845,187.0,NO_HCH,NEITHER,(normal),3222.322463994378,3220.2232756162966,3214.7927979287047,3214.8475959592647,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.108951230847576,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.4089240385441029,AVAILABLE,3221.6708500096224,2025-04,TV22
L00009,XAU,LONG,218,2025-04-15T14:00:03+00:00,14,Londres/NY (overlap),Tuesday,sub1,EXPIRED,False,,,,,,,217,3.888025057590585,2.515285226539821,,1.5457591117565574,,,14.0,-0.4999999999999997,-0.8660254037844388,1,15.56655883783434,1.941630017148782,0.4993872180319776,0.4993872180319776,50.63199388651724,-0.7438223666675652,Expansion,3219.715,3211.99,ALIGNED,3212.601,ALIGNED,3211.99,ALIGNED,3211.599,3211.599,3211.627,3214.265,3219.641,187.0,NO_HCH,D_ONLY,D✓,3220.7795573728354,3219.959026096633,3214.838272496846,3214.886797148619,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.6658907701598891,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.5880478884252536,AVAILABLE,3217.7733699828514,2025-04,TV22
L00010,XAU,SHORT,230,2025-04-15T15:00:03+00:00,15,Londres/NY (overlap),Tuesday,sub1,FILLED_CLOSED,True,234.0,4.0,261.0,loss,-5.620114104785898,-1.02930341691204,223,3.462840734597175,2.563827349793094,,1.3506528569003031,,,15.0,-0.7071067811865471,-0.7071067811865479,1,13.799711694433965,2.6179603352143204,0.7560152302294267,0.7560152302294267,44.52588960316718,0.3658845719763278,Expansion,3218.912,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,3226.861,3226.861,3226.359,3226.175,3221.845,187.0,NO_HCH,NEITHER,(normal),3221.39650624526,3220.2392606573967,3215.1361934898264,3215.173763703858,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.8669182991892995,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.539498947070662,AVAILABLE,3221.529960335214,2025-04,TV22
L00011,XAU,SHORT,282,2025-04-15T19:20:03+00:00,19,Nueva York,Tuesday,sub1,FILLED_CLOSED,True,283.0,1.0,290.0,loss,-3.46598064439695,-1.0483971375546373,281,1.835085678497742,2.378894930461612,,0.7714025764650537,,,19.33333333333333,-0.9396926207859084,0.3420201433256681,1,33.37516804236282,1.8722937956031276,1.0202759563443626,1.0202759563443626,48.64953763712624,0.3934421201473595,Compression,3226.812,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,3231.861,3231.861,3231.777,3231.126,3221.845,187.0,NO_HCH,NEITHER,(normal),3225.550466295182,3222.0753748731313,3216.6133944764974,3216.7148731384227,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,2.327956699818575,AVAILABLE,UNAVAILABLE,UNAVAILABLE,1.7310942162642786,AVAILABLE,3228.684293795603,2025-04,TV22
