model,column,coverage_n,coverage_pct,n_aligned,n_against,n_neutral,exp_r_aligned,exp_r_against,rho_vs_regime
S0 legacy exacto (naive),S0_legacy_naive,644,26.03071948261924,321,323,1812,0.07319172358981636,-0.17769750367053666,-0.09902650192836744
S0b legacy true-anchor (lookback=3),S0b_legacy_true_anchor,912,36.86337914308812,455,457,1545,-0.002704973562640136,-0.10015330673491084,-0.03611862515398
"S_true2 (true-anchor, lookback=2)",S_true2,1866,75.42441390460792,914,952,599,0.006277924097716565,-0.11366017503994932,-0.04696547875790946
"S_true4 (true-anchor, lookback=4)",S_true4,423,17.09781729991916,207,216,2027,-0.02605847969237524,-0.09470946402625012,-0.012414901761514545
S3 pivot-based (find_confirmed_pivots),S3_pivot,1450,58.609539207760704,699,751,898,-0.09982486718237711,-0.0152097951361685,-0.06523396465841325
