candidate,cohort,universe,N,pct,N_LONG,N_SHORT,fill_rate,wins,losses,timeouts,WR,pnl_total,pnl_mean,pnl_median,PF,ExpR,ExpR_LONG,WR_LONG,ExpR_SHORT,WR_SHORT
E1_px_ema50,AGAINST,B_coverage,2000,0.8084074373484236,950.0,1050.0,,,,,,,,,,,,,,
E1_px_ema50,ALIGNED,B_coverage,428,0.17299919159256266,224.0,204.0,,,,,,,,,,,,,,
E1_px_ema50,UNAVAILABLE,B_coverage,46,0.018593371059013743,15.0,31.0,,,,,,,,,,,,,,
E2_px_ema200,AGAINST,B_coverage,1815,0.7336297493936944,831.0,984.0,,,,,,,,,,,,,,
E2_px_ema200,ALIGNED,B_coverage,613,0.24777687954729183,343.0,270.0,,,,,,,,,,,,,,
E2_px_ema200,UNAVAILABLE,B_coverage,46,0.018593371059013743,15.0,31.0,,,,,,,,,,,,,,
E3_px_ema200m15,AGAINST,B_coverage,1576,0.6370250606305577,704.0,872.0,,,,,,,,,,,,,,
E3_px_ema200m15,ALIGNED,B_coverage,852,0.34438156831042843,470.0,382.0,,,,,,,,,,,,,,
E3_px_ema200m15,UNAVAILABLE,B_coverage,46,0.018593371059013743,15.0,31.0,,,,,,,,,,,,,,
E4_ema50_vs_ema200,AGAINST,B_coverage,1630,0.6588520614389652,722.0,908.0,,,,,,,,,,,,,,
E4_ema50_vs_ema200,ALIGNED,B_coverage,798,0.322554567502021,452.0,346.0,,,,,,,,,,,,,,
E4_ema50_vs_ema200,UNAVAILABLE,B_coverage,46,0.018593371059013743,15.0,31.0,,,,,,,,,,,,,,
E5_px_all3,AGAINST,B_coverage,2176,0.8795472918350848,1030.0,1146.0,,,,,,,,,,,,,,
E5_px_all3,ALIGNED,B_coverage,252,0.10185933710590138,144.0,108.0,,,,,,,,,,,,,,
E5_px_all3,UNAVAILABLE,B_coverage,46,0.018593371059013743,15.0,31.0,,,,,,,,,,,,,,
D_TV22,False,A_fill_rate,2278,,,,0.7901668129938543,,,,,,,,,,,,,
D_TV22,True,A_fill_rate,929,,,,0.7255113024757804,,,,,,,,,,,,,
HCH,False,A_fill_rate,2973,,,,0.7780020181634713,,,,,,,,,,,,,
HCH,True,A_fill_rate,234,,,,0.688034188034188,,,,,,,,,,,,,
ALL,ALL,B,2474,,1189.0,1285.0,,1220.0,1251.0,3.0,0.4931285367825384,-1378.0452872648602,-0.557011029613929,-1.8411540751892512,0.8991090418756048,-0.04624744397954403,-0.10029979103172285,0.4667788057190917,0.003766751074962301,0.5175097276264592
D_TV22,D_check,B,674,,363.0,311.0,,325.0,348.0,1.0,0.4821958456973294,-987.2837880842669,-1.4648127419647876,-2.1510868372249012,0.7534914293181793,-0.06905570666052241,-0.13723199153162247,0.4490358126721763,0.010519828414105592,0.5209003215434084
D_TV22,no_D_check,B,1800,,826.0,974.0,,895.0,903.0,2.0,0.49722222222222223,-390.7614991805933,-0.21708972176699629,-1.4528976975507248,0.9595220594882576,-0.037707016731222114,-0.08406929613890982,0.4745762711864407,0.0016104810005541316,0.5164271047227926
D_TV22,AGAINST,B,1799,,826.0,973.0,,894.0,903.0,2.0,0.49694274596998333,-393.38117130908097,-0.21866657660315786,-1.4560520673117026,0.9592506946460213,-0.03825193936889462,-0.08406929613890982,0.4745762711864407,0.0006433706948593096,0.5159301130524152
D_TV22,UNAVAILABLE,B,1,,0.0,1.0,,1.0,0.0,0.0,1.0,2.619672128487764,2.619672128487764,2.619672128487764,inf,0.9426088084416148,,,0.9426088084416148,1.0
D_UTC00,D_check,B,707,,379.0,328.0,,343.0,363.0,1.0,0.48514851485148514,-768.6778319779631,-1.0872388005346014,-2.086127941002814,0.8079241207985175,-0.0649194839220877,-0.16395359093251255,0.43799472295514513,0.0495132189954459,0.5396341463414634
