scope,variable,categoria,pct_winners,pct_losers,n_winners,n_losers
global,direction,SHORT,54.50819672131148,49.480415667466026,665,619
global,direction,LONG,45.49180327868852,50.519584332533974,555,632
global,session_utc,Nueva York,11.065573770491802,12.070343725019985,135,151
global,session_utc,Londres,14.59016393442623,12.54996003197442,178,157
global,session_utc,Londres/NY (overlap),30.16393442622951,29.816147082334133,368,373
global,session_utc,Asia,28.770491803278688,31.254996003197444,351,391
global,session_utc,Post-NY / transicion,12.37704918032787,11.11111111111111,151,139
global,session_utc,Asia/Londres (overlap),3.0327868852459017,3.1974420463629096,37,40
global,weekday,Miercoles,20.40983606557377,21.02318145483613,249,263
global,weekday,Lunes,21.147540983606557,18.06554756195044,258,226
global,weekday,Martes,21.065573770491802,22.062350119904075,257,276
global,weekday,Jueves,20.901639344262296,18.784972022382092,255,235
global,weekday,Viernes,14.672131147540984,18.225419664268586,179,228
global,weekday,Domingo,1.8032786885245904,1.8385291766586729,22,23
global,d1_trend,insuficiente,0.49180327868852464,0.9592326139088728,6,12
global,d1_trend,alcista,16.065573770491802,15.987210231814547,196,200
global,d1_trend,bajista,9.672131147540984,10.471622701838529,118,131
global,d1_trend,sin_secuencia,73.77049180327869,72.58193445243805,900,908
global,aligned_with_d1,False,11.311475409836065,14.948041566746603,138,187
global,aligned_with_d1,True,14.426229508196723,11.510791366906476,176,144
global,aligned_with_d1,nan,74.26229508196721,73.54116706634693,906,920
global,divergencia_score,0,80.40983606557377,79.05675459632295,981,989
global,divergencia_score,1,16.557377049180328,16.706634692246205,202,209
global,divergencia_score,-1,3.0327868852459017,4.236610711430855,37,53
global,tendencia_score,0,90.73770491803279,90.48760991207034,1107,1132
global,tendencia_score,1,0.32786885245901637,0.15987210231814547,4,2
global,tendencia_score,-1,8.934426229508198,9.352517985611511,109,117
global,nodo_score,0,10.819672131147541,11.830535571542766,132,148
global,nodo_score,-1,89.18032786885246,88.16946442845723,1088,1103
sub1,direction,SHORT,52.806122448979586,53.75854214123007,207,236
sub1,direction,LONG,47.19387755102041,46.24145785876993,185,203
