scope,variable,n_winners,n_losers,mean_winners,mean_losers,median_winners,median_losers,diff_mean
global,rsi_entry,1220,1251,50.392636285749234,50.499230014954975,50.46444312937422,50.13190430413513,-0.10659372920574128
global,adx_entry,1219,1251,27.553861044913187,28.33867719014857,25.451334692227885,26.68746859068538,-0.7848161452353821
global,atr_pct_entry,1220,1251,0.12540829603583828,0.12449270748611639,0.10908387725538976,0.1084340424494986,0.000915588549721888
global,dist_ema_atr,1220,1251,0.3787656222144499,0.37927659329034474,0.2958557666922703,0.2816974410685598,-0.0005109710758948172
global,htf_width_atr,1220,1251,7.196927607552524,7.464514495733772,5.8905604343332225,6.178440381211352,-0.2675868881812473
global,htf_pos_in_block,1220,1251,0.5212512974731455,0.5217280017600447,0.5281160681803243,0.5152580523076371,-0.0004767042868992766
global,htf_age_bars,1220,1251,49.3327868852459,50.3621103117506,37.0,40.0,-1.0293234265046962
sub1,rsi_entry,392,439,50.134488812183214,51.11706317195081,50.2808817530717,50.86627007223155,-0.9825743597675967
sub1,adx_entry,391,439,27.323681370930377,28.073821808424388,25.535852787047112,27.283903458486037,-0.7501404374940108
sub1,atr_pct_entry,392,439,0.08884174640574473,0.0907592273098626,0.07952793220574264,0.0827288351735935,-0.001917480904117877
sub1,dist_ema_atr,392,439,0.37788191095912427,0.38716041208438146,0.2834016887198295,0.3090906310773054,-0.009278501125257188
sub1,htf_width_atr,392,439,7.171341896871502,7.792636026429976,5.7079342283727375,6.334517999690179,-0.621294129558474
sub1,htf_pos_in_block,392,439,0.500435332844462,0.5425827661296835,0.5008894310750521,0.5519868538990078,-0.042147433285221525
sub1,htf_age_bars,392,439,48.02295918367347,51.945330296127565,37.0,41.0,-3.922371112454094
sub2,rsi_entry,402,365,50.73168200985772,51.35800436507918,51.05069016315869,51.98937410370255,-0.6263223552214612
sub2,adx_entry,402,365,27.473807374433754,28.35372978366776,25.062944366419178,26.52322339546845,-0.8799224092340054
sub2,atr_pct_entry,402,365,0.1560515105345021,0.1562899989458951,0.12547829134847388,0.1273202478388834,-0.00023848841139298416
sub2,dist_ema_atr,402,365,0.38017736282115994,0.37138550688925787,0.29639014600065716,0.2798388275144104,0.00879185593190207
sub2,htf_width_atr,402,365,7.4690022047045055,7.37854710645414,6.33236814020751,6.265116455809476,0.09045509825036557
sub2,htf_pos_in_block,402,365,0.561554884858645,0.5748055572499002,0.580105951976976,0.6000938820215921,-0.013250672391255214
sub2,htf_age_bars,402,365,52.02238805970149,47.71506849315068,42.0,39.0,4.3073195665508095
sub3,rsi_entry,426,447,50.31023588327569,49.191217948475085,50.05667836647393,48.24694556332006,1.1190179348006026
sub3,adx_entry,426,447,27.840672847870966,28.586501163174102,26.260594991030185,26.58415432513624,-0.745828315303136
sub3,atr_pct_entry,426,447,0.13013955243615244,0.1316582251920587,0.1233028640285722,0.1221711734664148,-0.001518672755906253
sub3,dist_ema_atr,426,447,0.378246596599873,0.3779773764800866,0.3000057118785482,0.2686559206093913,0.00026922011978636196
sub3,htf_width_atr,426,447,6.963724815373802,7.2124624713745575,5.867538828907868,6.093969898238636,-0.24873765600075526
sub3,htf_pos_in_block,426,447,0.5023729312888102,0.457905743791211,0.5020400881880677,0.4448795913403164,0.0444671874975992
sub3,htf_age_bars,426,447,48.0,50.96868008948546,36.0,40.0,-2.96868008948546
