variable,bucket,n_trades,pct_sample,win_rate,profit_factor,expectancy_r,avg_r,net_r,net_usd,pct_sub1,pct_sub2,pct_sub3
rsi_entry,1) <30,3,0.12126111560226355,0.0,0.0,-1.0350301189859776,-1.0350301189859776,-3.105090356957933,-40.27082297515244,33.33333333333333,0.0,66.66666666666666
rsi_entry,2) 30-40,163,6.588520614389652,0.34355828220858897,0.49241041463177226,-0.3434565495775286,-0.3434565495775286,-55.98341758113716,-809.6705049232654,29.447852760736197,27.607361963190186,42.944785276073624
rsi_entry,3) 40-50,1035,41.83508488278092,0.5082284607938045,0.9613138458712582,-0.019701871161620813,-0.019701871161620813,-20.39143665227754,-192.69948733453333,34.009661835748794,28.695652173913043,37.29468599033817
rsi_entry,4) 50-60,1036,41.875505254648345,0.5526570048309178,1.1573482818368614,0.07259831849018802,0.07259831849018802,75.21185795583479,707.1171877917155,32.625482625482626,33.49420849420849,33.88030888030888
rsi_entry,5) 60-70,235,9.498787388843978,0.2851063829787234,0.3761040030510448,-0.4591335799545844,-0.4591335799545844,-107.89639128932734,-1027.1187764019314,38.297872340425535,34.04255319148936,27.659574468085108
rsi_entry,6) >70,2,0.08084074373484236,0.0,0.0,-1.0255143672984848,-1.0255143672984848,-2.0510287345969695,-13.015883421693161,100.0,0.0,0.0
adx_entry,1) <20 (debil/no-tendencial),683,27.607113985448667,0.5109809663250366,0.9594716716864692,-0.020670443455570058,-0.020670443455570058,-14.11791288015435,-93.93590557669863,32.942898975109806,33.96778916544656,33.08931185944363
adx_entry,2) 20-25 (transicion),468,18.916734033953112,0.5170940170940171,1.0057637397942278,0.0028706616226574075,0.0028706616226574075,1.3434696394036667,-321.0692061040842,33.11965811965812,28.846153846153843,38.034188034188034
adx_entry,3) 25-40 (tendencia),938,37.91430881164107,0.48128342245989303,0.8721693711155518,-0.06822865511144749,-0.06822865511144749,-63.99847849453775,-767.4700404682968,34.86140724946695,29.21108742004264,35.927505330490405
adx_entry,4) >40 (tendencia fuerte),384,15.521422797089734,0.4635416666666667,0.8184207542891876,-0.09996144200941502,-0.09996144200941502,-38.38519373161537,-195.80280724426814,32.03125,33.33333333333333,34.63541666666667
adx_entry,sin_dato,1,0.04042037186742118,1.0,inf,0.9426088084416148,0.9426088084416148,0.9426088084416148,2.619672128487764,100.0,0.0,0.0
"atr_pct_entry (volatilidad relativa, cuartiles del dataset)",1) muy baja [0.023-0.080],619,25.02021018593371,0.4927302100161551,0.867036663175354,-0.0711151768127363,-0.0711151768127363,-44.02029444708377,-242.80683695243803,64.78190630048465,19.38610662358643,15.831987075928918
"atr_pct_entry (volatilidad relativa, cuartiles del dataset)",2) baja [0.080-0.109],618,24.97978981406629,0.49029126213592233,0.897235606748979,-0.05421189639517517,-0.05421189639517517,-33.502951972218256,-342.4065532804326,36.084142394822,28.317152103559874,35.59870550161812
"atr_pct_entry (volatilidad relativa, cuartiles del dataset)",3) alta [0.109-0.147],618,24.97978981406629,0.4935275080906149,0.9248409492068573,-0.03903979575806515,-0.03903979575806515,-24.12659377848426,-340.6430465853166,21.035598705501616,30.258899676375407,48.70550161812297
"atr_pct_entry (volatilidad relativa, cuartiles del dataset)",4) muy alta [0.147-1.028],619,25.02021018593371,0.49837662337662336,0.960158126760455,-0.02029994581692388,-0.02029994581692388,-12.565666460675882,-449.8018504466729,12.439418416801292,46.36510500807754,41.19547657512116
"dist_ema_atr (distancia a EMA / ATR, cuartiles del dataset)",1) muy cerca [-0.001-0.133],619,25.02021018593371,0.47649918962722854,0.8524708706962854,-0.07961217579310242,-0.07961217579310242,-49.2799368159304,-299.4778748262259,34.5718901453958,29.72536348949919,35.70274636510501
"dist_ema_atr (distancia a EMA / ATR, cuartiles del dataset)",2) cerca [0.133-0.288],618,24.97978981406629,0.4967637540453074,0.9167729709316425,-0.043448791534901304,-0.043448791534901304,-26.851353168569005,-126.71600791531213,31.55339805825243,32.847896440129446,35.59870550161812
"dist_ema_atr (distancia a EMA / ATR, cuartiles del dataset)",3) lejos [0.288-0.528],618,24.97978981406629,0.5064724919093851,0.9589408231652058,-0.02093627152534673,-0.02093627152534673,-12.93861580266428,-503.60031365795055,34.46601941747573,30.74433656957929,34.78964401294498
"dist_ema_atr (distancia a EMA / ATR, cuartiles del dataset)",4) muy lejos [0.528-2.843],619,25.02021018593371,0.49514563106796117,0.9218350990886649,-0.04062294163376168,-0.04062294163376168,-25.14560087129848,-445.8640908653715,33.764135702746366,31.017770597738288,35.21809369951534
"htf_width_atr (ancho bloque HTF / ATR, cuartiles del dataset)",1) angosto [0.799-4.026],619,25.02021018593371,0.5201938610662359,0.9819847742858054,-0.009079525419629548,-0.009079525419629548,-5.620226234750691,-93.08022160927202,33.2794830371567,27.78675282714055,38.933764135702745
"htf_width_atr (ancho bloque HTF / ATR, cuartiles del dataset)",2) normal- [4.026-6.064],618,24.97978981406629,0.4967637540453074,0.9324019264966155,-0.03496540392039351,-0.03496540392039351,-21.60861962280319,-305.0036335702874,35.11326860841424,31.55339805825243,33.33333333333333
"htf_width_atr (ancho bloque HTF / ATR, cuartiles del dataset)",3) normal+ [6.064-9.799],618,24.97978981406629,0.47974068071312803,0.877056926145303,-0.06552784381299251,-0.06552784381299251,-40.49620747642937,-664.3863235527637,29.61165048543689,34.627831715210355,35.760517799352755
"htf_width_atr (ancho bloque HTF / ATR, cuartiles del dataset)",4) muy ancho [9.799-29.463],619,25.02021018593371,0.47811993517017826,0.860162097233284,-0.07510574042726806,-0.07510574042726806,-46.49045332447893,-313.18810853253694,36.34894991922455,30.37156704361874,33.2794830371567
htf_pos_in_block,1) cerca soporte (<0.33),757,30.598221503637834,0.4623513870541612,0.7997558135021088,-0.11159965820728654,-0.11159965820728654,-84.4809412629159,-689.1283248701875,33.42140026420079,24.9669749009247,41.611624834874505
htf_pos_in_block,2) medio (0.33-0.67),853,34.478577202910266,0.5341176470588235,1.07275635768536,0.03493061141995392,0.03493061141995392,29.795811541220694,-181.25437505044158,34.23212192262602,30.5978898007034,35.16998827667057
htf_pos_in_block,3) cerca resistencia (>0.67),864,34.923201293451896,0.48148148148148145,0.8711646128275687,-0.06890089923236915,-0.06890089923236915,-59.53037693676695,-505.2755873442311,33.101851851851855,36.9212962962963,29.976851851851855
"htf_age_bars (antiguedad dentro del bloque, cuartiles)",1) temprano [-0.001-18.000],635,25.666936135812453,0.5086614173228347,0.9410285807443047,-0.030350651603983734,-0.030350651603983734,-19.27266376852967,-274.38166270884255,34.645669291338585,29.133858267716533,36.22047244094488
"htf_age_bars (antiguedad dentro del bloque, cuartiles)",2) medio-temprano [18.000-39.000],630,25.464834276475344,0.5103338632750397,0.9829698251293268,-0.0085706999750879,-0.0085706999750879,-5.399540984305377,-363.11518090673974,32.698412698412696,30.952380952380953,36.34920634920635
"htf_age_bars (antiguedad dentro del bloque, cuartiles)",3) medio-tardio [39.000-74.000],594,24.00970088924818,0.46452702702702703,0.8273900676722761,-0.0944645204531361,-0.0944645204531361,-56.111925149162836,-570.475875485555,32.15488215488215,33.83838383838384,34.00673400673401
"htf_age_bars (antiguedad dentro del bloque, cuartiles)",4) tardio [74.000-159.000],615,24.858528698464024,0.4894308943089431,0.8969863249462011,-0.054359962205633015,-0.054359962205633015,-33.4313767564643,-167.68556816372285,34.796747967479675,30.569105691056908,34.63414634146341
session_utc,Asia,742,29.991915925626518,0.47304582210242585,0.8474847518310901,-0.08271530062456352,-0.08271530062456352,-61.374753063426134,-863.7782477156385,32.74932614555256,30.45822102425876,36.79245283018868
session_utc,Asia/Londres (overlap),77,3.112368633791431,0.4805194805194805,0.8744201352897122,-0.06696670444073395,-0.06696670444073395,-5.156436241936515,64.4109251222617,28.57142857142857,33.76623376623377,37.66233766233766
