ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r,sub_periodo,desde,hasta,n_velas
14,800,2.7,3.0,1,10,True,500,0.01,1418,354,91,249,45,13,883,136,353,0.2676470588235294,0.03222081996847611,0.9366776117871684,23.87382580721657,sub1,2025-03-19 23:35:00,2025-09-08 10:35:00,33333
14,800,1.2,3.0,3,10,True,500,0.01,1418,448,129,303,58,15,912,0,447,0.2986111111111111,0.134401632936868,1.024976223111796,29.841833615472453,sub1,2025-03-19 23:35:00,2025-09-08 10:35:00,33333
14,800,1.2,3.0,1,10,True,500,0.01,1418,350,96,240,49,13,912,107,349,0.2857142857142857,0.09188320379496696,0.7450904587308429,19.801576892242277,sub1,2025-03-19 23:35:00,2025-09-08 10:35:00,33333
14,800,2.7,3.0,1,10,True,500,0.01,1325,320,79,231,54,9,872,79,319,0.25483870967741934,-0.03576953566582938,0.9362668399404184,26.852070442552122,sub2,2025-09-08 10:40:00,2026-02-26 23:00:00,33333
14,800,1.2,3.0,3,10,True,500,0.01,1325,366,87,268,58,10,901,0,365,0.24507042253521127,-0.08529209931304195,0.6312700653980272,60.74638701691708,sub2,2025-09-08 10:40:00,2026-02-26 23:00:00,33333
14,800,1.2,3.0,1,10,True,500,0.01,1325,317,77,230,45,9,901,62,316,0.250814332247557,-0.06809768585867007,0.9280067437926415,54.203713048340425,sub2,2025-09-08 10:40:00,2026-02-26 23:00:00,33333
14,800,2.7,3.0,1,10,True,500,0.01,1360,343,84,238,56,19,847,114,341,0.2608695652173913,0.03371464055526097,2.4534642119601413,34.25446899060868,sub3,2026-02-26 23:05:00,2026-08-18 03:45:00,33334
14,800,1.2,3.0,3,10,True,500,0.01,1360,421,99,303,72,17,867,0,419,0.2462686567164179,-0.051049891987397025,1.3743362732310578,48.60277512835844,sub3,2026-02-26 23:05:00,2026-08-18 03:45:00,33334
14,800,1.2,3.0,1,10,True,500,0.01,1360,339,81,239,54,17,867,100,337,0.253125,-0.018188063126273562,2.29608111171455,42.85420199244976,sub3,2026-02-26 23:05:00,2026-08-18 03:45:00,33334
