sextil,desde,hasta,n_total,expectancy_baseline,pf_baseline,n_long,expectancy_long,n_short,expectancy_short,delta_direction_short_minus_long,n_aligned,expectancy_aligned,n_against,expectancy_against,delta_d1_aligned_minus_against,n_neutral,expectancy_neutral
T1,2025-04-14 20:20:03+00:00,2025-07-09 23:20:03+00:00,401,-0.14645086046029127,0.7450589667682266,192,-0.11720759274389624,209,-0.17331548917583117,-0.05610789643193494,51,0.06314618891387959,39,-0.06088426419231103,0.12403045310619062,311,-0.19155229702792456
T2,2025-07-10 01:05:03+00:00,2025-10-02 16:05:03+00:00,430,-0.05340738156717045,0.8985311410954916,196,-0.06151428513138406,234,-0.04661698370996588,0.01489730142141818,60,0.01713704203781531,71,-0.3378142005115015,0.3549512425493168,299,-2.8723611490327818e-05
T3,2025-10-03 00:05:03+00:00,2025-12-29 16:05:03+00:00,406,0.07265909633843186,1.157438400761338,173,0.005664163972208591,233,0.12240211479060618,0.11673795081839759,51,0.2352237614455024,75,-0.14328715772100287,0.37851091916650526,280,0.10089185038842113
T4,2025-12-30 04:55:03+00:00,2026-03-25 20:20:03+00:00,363,-0.028501936845826838,0.9446283867900876,166,-0.09127419416685414,197,0.024392452571891637,0.11566664673874578,53,0.06949488759014956,48,-0.1884072416442718,0.25790212923442135,262,-0.01903009358163364
T5,2026-03-26 06:50:03+00:00,2026-06-19 13:20:03+00:00,463,-0.13510771119232873,0.7629683233884011,248,-0.23651507981517383,215,-0.018135490641326003,0.21837958917384784,56,-0.030143966691401576,56,-0.21191758891458692,0.18177362222318535,351,-0.13959949620544973
T6,2026-06-21 22:15:03+00:00,2026-09-15 00:30:03+00:00,411,0.026467013877561906,1.0547538275951944,214,-0.05452228242308668,197,0.11444523422445935,0.16896751664754603,50,0.06593955938151769,36,-0.039811872070917714,0.1057514314524354,325,0.027735975782015677
