config,rr,label,n_trades,n_win,n_loss,win_rate,net_r,expectancy_r,profit_factor,max_drawdown_r,recovery_factor,max_loss_streak,max_win_streak,avg_winner_r,avg_loser_r,trades_per_month,pct_overnight,n_overnight,streak_ge3,streak_ge5,streak_ge7,streak_ge10,streak_ge15,streak_ge20,n_loss_streaks_total,gross_pnl_usd,net_pnl_usd,swap_total_usd,swap_avg_per_overnight_usd,commission_total_usd,spread_total_usd,total_costs_usd
A_RR1,1.0,A_RR1,2474,1220,1251,0.4937272359368677,-114.21550665846215,-0.0461663325216096,0.9116993043082526,140.66017487172317,-0.8119960519217498,10,9,0.9660425876880187,-1.0338184191548097,145.3713803088803,0.06790622473726758,168,161,42,9,2,0,0,611,-782.2392872648047,-1375.6582872648594,-82.75450000000002,-0.4925863095238095,0.0,510.66450000005534,593.4190000000547
A_RR2,2.0,A_RR2,2041,656,1378,0.3225172074729597,-131.826074897676,-0.06458896369312886,0.9074163196777386,143.4128348863764,-0.9192069524468963,21,6,1.964169331289129,-1.0331479105578298,119.92845077220076,0.13179813816756492,269,206,100,44,10,1,1,446,-471.7346879340935,-1028.4800879341353,-136.67840000000007,-0.5080981412639405,0.0,420.06700000004093,556.7454000000419
A_RR3,3.0,A_RR3,1518,345,1155,0.23,-153.6102066173948,-0.10119249447786219,0.8714199717464105,164.76950946577867,-0.9322732531973607,34,5,2.963938612533929,-1.0341864124686522,89.36968085106383,0.18050065876152832,274,157,92,52,22,6,2,281,-634.7154547396431,-1096.15015473967,-148.4242,-0.5416941605839417,0.0,313.0105000000258,461.43470000002685
A_RR4,4.0,A_RR4,1243,224,991,0.18436213991769548,-97.31904170451128,-0.07829367796018606,0.9050597058692033,107.95005967257855,-0.9015191098521665,33,4,3.9610646827908402,-1.0341819947271522,73.17952127659575,0.20997586484312147,261,137,87,49,24,6,1,211,-123.52248397594212,-530.5416839759542,-151.09369999999984,-0.5789030651340995,0.0,255.92550000001205,407.0192000000121
A_RR5,5.0,A_RR5,1051,160,855,0.15763546798029557,-22.059103962219346,-0.02098868121999938,0.9750596878078679,73.8815948371938,-0.2985737383015215,30,3,4.954454169515219,-1.0344699773430721,61.87584622823985,0.2445290199809705,257,109,75,44,20,8,4,167,734.510897884235,361.81679788421087,-156.96659999999986,-0.6107649805447468,0.0,215.7275000000236,372.6941000000241
A_RR7,7.0,A_RR7,870,94,722,0.11519607843137254,36.98738430041479,0.04251423482806298,1.0494081837670624,66.68331390439079,0.5546722580921303,25,4,6.940579117150846,-1.0368482464143354,51.219777562862674,0.27586206896551724,240,85,64,47,24,5,4,123,1581.315323989853,1236.057723989827,-164.97509999999977,-0.6873962499999994,0.0,180.2825000000275,345.25760000002583
B_referencia_motor_corregido,3.0,B_referencia_motor_corregido,1070,257,793,0.24476190476190476,-33.7585674961789,-0.03155006308054103,0.9586326097570566,59.473787900072864,-0.5676209417315008,16,6,2.9665320155596833,-1.0283844365078978,62.99443907156674,0.2485981308411215,266,117,61,36,11,1,0,213,-324.4145711830888,-704.8927711831069,-159.10219999999987,-0.5981285714285713,0.0,221.37600000001754,380.4782000000181
