period,group,n_trades,pct_of_period,wins,losses,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_dd_r,max_dd_usd,max_losing_streak,muestra_insuficiente
completo,A_baseline,2474,100.0,1220,1251,0.4937272359368677,0.9116993043082539,-0.04616633252160961,-114.21550665846217,-1375.65828726486,0.9660425876880187,-1.0338184191548097,140.66017487172326,1667.2320532154056,10,False
completo,LONG,1189,48.059822150363786,555,632,0.4675652906486942,0.8181640653633863,-0.10013101916718985,-119.05578178978872,-1393.2565857156228,0.9645016668241948,-1.0357057866289439,125.3152381499853,1466.4344768163483,10,False
completo,SHORT,1285,51.940177849636214,665,619,0.5179127725856698,1.0075778394669306,0.003766751074962301,4.840275131326557,17.59829845076274,0.967328619386398,-1.0318914139146595,48.61203946144381,325.27196356583227,12,False
sub1,A_baseline,831,100.0,392,439,0.4717208182912154,0.8211183794398006,-0.09830561867444054,-81.6919691184601,-561.9576472361284,0.9566065496294387,-1.0402773042669706,84.86177129645574,584.747906545646,10,False
sub1,LONG,388,46.690734055354994,185,203,0.47680412371134023,0.8363359794986751,-0.08907386003242102,-34.560657692579355,-361.44047894159456,0.9546360599947188,-1.040238072865036,44.79305519398689,449.73537000413427,7,False
sub1,SHORT,443,53.309265944645,207,236,0.4672686230248307,0.8080295823688475,-0.10639122218031768,-47.13131142588073,-200.5171682945338,0.9583676152450097,-1.0403110499220245,48.073920234322394,216.11511033832312,12,False
sub2,A_baseline,769,100.0,402,365,0.5241199478487614,1.0511818106151198,0.024906879113612727,19.153390038368187,-25.647652644658024,0.9768154081601332,-1.0252673864083066,25.213907588212056,748.7667831090353,6,False
sub2,LONG,339,44.083224967490246,166,172,0.4911242603550296,0.9198666164473659,-0.04180417659146224,-14.171615864505698,-76.88160812467632,0.9776509477100436,-1.0281996321444964,24.27554019514997,481.6157491442144,5,False
sub2,SHORT,430,55.91677503250976,236,193,0.5501165501165501,1.1688434130477388,0.07750001372761371,33.3250059028739,51.23395548001827,0.9762276981377386,-1.0226541933169877,12.293086076050894,324.7085784026349,6,False
sub3,A_baseline,874,100.0,426,447,0.4879725085910653,0.8882852626427467,-0.059126919426052936,-51.67692757837027,-788.0529873840736,0.9645596137189419,-1.0344575162202119,81.14229122861042,1031.1893266874795,8,False
sub3,LONG,462,52.8604118993135,204,257,0.44251626898047725,0.7363437328129182,-0.15221538578507288,-70.32350823270367,-954.9344986493519,0.962748513081068,-1.0371493837705712,77.35908655319538,1066.4504743461048,10,False
sub3,SHORT,412,47.139588100686495,222,190,0.5388349514563107,1.095205991210174,0.04525869090857623,18.64658065433341,166.88151126527828,0.9662238683591498,-1.030816411165252,16.479007031708704,177.0152882792754,8,False
T1,A_baseline,401,100.0,178,223,0.44389027431421446,0.7450589667682266,-0.14645086046029127,-58.7267950445768,-407.3499419492511,0.9642001666486327,-1.0329794829956656,61.04952437437969,419.1006868479851,10,False
T1,LONG,192,47.880299251870326,88,104,0.4583333333333333,0.7899797619484601,-0.11720759274389624,-22.503857806828076,-243.67952813564824,0.9618982219659259,-1.0302971282675917,29.518234346163084,308.94613438482287,6,False
T1,SHORT,209,52.119700748129674,90,119,0.430622009569378,0.705991060584416,-0.17331548917583117,-36.22293723774872,-163.67041381360286,0.9664509570050569,-1.0353237257832257,39.79087306650512,216.11511033832312,12,False
T2,A_baseline,430,100.0,214,216,0.49767441860465117,0.8985311410954916,-0.05340738156717045,-22.965174073883293,-154.60770528687732,0.9502903635106701,-1.0478116290054014,30.078598102833464,197.82606692708265,7,False
T2,LONG,196,45.58139534883721,97,99,0.49489795918367346,0.8840886553232501,-0.06151428513138406,-12.056799885751275,-117.76095080594634,0.9480477068662012,-1.0506810853714421,22.130431880271395,169.78863333152213,7,False
T2,SHORT,234,54.418604651162795,117,117,0.5,0.9108136334160621,-0.04661698370996588,-10.908374188132015,-36.84675448093094,0.9521496600449735,-1.0453836274649053,20.21359587057047,103.07423395701926,6,False
T3,A_baseline,406,100.0,222,183,0.5481481481481482,1.157438400761338,0.07265909633843186,29.499593113403332,329.2454680584957,0.9755150947426059,-1.0238922752568378,10.695362035724182,136.74896700845784,6,False
T3,LONG,173,42.610837438423644,89,84,0.5144508670520231,1.0114079926773476,0.005664163972208591,0.9799003671920863,37.16789992182986,0.9761331487928829,-1.0225708318496964,10.805703774926673,162.0523531355846,5,False
T3,SHORT,233,57.389162561576356,133,99,0.5732758620689655,1.2810477174366586,0.12240211479060618,28.51969274621124,292.07756813666583,0.9751015097014428,-1.0250134999659275,11.478242804322024,92.41098434490095,6,False
T4,A_baseline,363,100.0,180,182,0.4972375690607735,0.9446283867900876,-0.028501936845826838,-10.346203075035142,-354.8931207031538,0.9784191280417502,-1.026650053115553,25.21390758821206,748.7667831090353,6,False
T4,LONG,166,45.73002754820937,77,88,0.4666666666666667,0.8334163226661533,-0.09127419416685414,-15.151516231697789,-114.04950804650616,0.9794052867181902,-1.0335725778804417,18.999893776551634,481.6157491442144,5,False
T4,SHORT,197,54.269972451790636,103,94,0.5228426395939086,1.0501096711484335,0.024392452571891637,4.805313156662653,-240.84361265664757,0.9776819026234409,-1.0201693916335295,11.719319961171708,323.37861543627423,5,False
T5,A_baseline,463,100.0,208,255,0.44924406047516197,0.7629683233884011,-0.13510771119232873,-62.554870282048206,-720.489129196857,0.9680502732868818,-1.03493853774792,68.87895670809402,855.0135140933032,8,False
T5,LONG,248,53.56371490280778,99,149,0.39919354838709675,0.6205363477674277,-0.23651507981517383,-58.65573979416311,-712.1662817474015,0.9688852959739519,-1.037418685205264,64.34977865502364,814.9880697418239,9,False
T5,SHORT,215,46.436285097192226,109,106,0.5069767441860465,0.964337420019596,-0.018135490641326003,-3.8991304878850905,-8.322847449455367,0.9672918581857809,-1.031452292737125,11.75104585134902,166.0757333868005,5,False
T6,A_baseline,411,100.0,218,192,0.5317073170731708,1.0547538275951944,0.026467013877561906,10.877942703677943,-67.56385818721675,0.9612290761495312,-1.0338186595037244,21.806492724405675,275.83111200833264,8,False
T6,LONG,214,52.06812652068127,105,108,0.49295774647887325,0.8959617376739107,-0.05452228242308668,-11.66776843854055,-242.7682169019504,0.956962403496349,-1.0367778475319671,17.745288353750066,300.6548825583836,10,False
T6,SHORT,197,47.93187347931874,113,84,0.5736040609137056,1.260580269725154,0.11444523422445935,22.54571114221849,175.20435871473364,0.965193683482134,-1.0300139891816982,11.647609385234407,119.32724339124661,8,False
development,A_baseline,1689,100.0,840,847,0.4979253112033195,0.9295199982523482,-0.03651472067558071,-61.67336322105582,-555.7207855310525,0.967473978433711,-1.0331141642295154,84.86177129645574,782.1547243763057,10,False
development,LONG,766,45.35227945529899,372,393,0.48627450980392156,0.885017007271343,-0.06103100810792789,-46.74975221067276,-441.7030364103994,0.9662400469924181,-1.0345539777005919,54.31647192849699,533.7539759367536,7,False
development,SHORT,923,54.64772054470101,468,454,0.5075921908893709,0.9681437973898988,-0.016168592643968634,-14.923611010383048,-114.01774912065318,0.9684547957332004,-1.0318678058723942,48.61203946144381,325.27196356583227,12,False
holdout,A_baseline,785,100.0,380,404,0.4846938775510204,0.8744320549751965,-0.06693266679924376,-52.54214343740635,-819.9375017338075,0.9628784607764882,-1.0352949140105623,81.14229122861039,1031.1893266874795,8,False
holdout,LONG,423,53.88535031847134,183,239,0.43364928909952605,0.7086351157069328,-0.17093624013975403,-72.30602957911596,-951.5535493052234,0.960967910416659,-1.0375997653270288,76.10163452406405,1007.1546313704644,10,False
holdout,SHORT,362,46.11464968152866,197,165,0.5441988950276243,1.1160718916077512,0.054596370557208874,19.763886141709612,131.61604757141595,0.964653235983842,-1.0319563718006504,16.479007031708704,177.0152882792754,8,False
