cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,full_n_trades,full_win_rate,full_net_r,full_expectancy_r,full_pf,full_max_dd_r,positive_subperiods,sub2_only_positive,sub2_share_of_net_r,sub1_n_trades,sub1_win_rate,sub1_net_r,sub1_expectancy_r,sub1_profit_factor,sub1_max_drawdown_r,sub2_n_trades,sub2_win_rate,sub2_net_r,sub2_expectancy_r,sub2_profit_factor,sub2_max_drawdown_r,sub3_n_trades,sub3_win_rate,sub3_net_r,sub3_expectancy_r,sub3_profit_factor,sub3_max_drawdown_r
ConfigA_referencia,12,800,0.4,1.0,1,2474,0.4937272359368677,-114.28196222400383,-0.046193194108328145,0.9116501748588761,140.71841206810637,1,True,,831,0.4717208182912154,-81.71971935496325,-0.09833901246084627,0.8210623859631333,84.88807649702308,768,0.5248041775456919,20.16080758245578,0.026251051539655967,1.054020382677851,24.194234991559917,876,0.48914285714285716,-49.738237231285126,-0.05677880962475471,0.8924793203591125,81.15246714505338
cfg_1260,14,200,0.2,0.5,1,4093,0.7055949181529441,77.515855626392,0.018938640514632787,1.0618373426690362,35.306163738979976,2,False,0.2807448758381629,1308,0.7003058103975535,-1.3861872592011828,-0.0010597761920498338,0.9966484764860157,17.957740749167318,1331,0.695717505634861,21.76217926332038,0.016350247380405997,1.0522573856633437,21.30821619559007,1453,0.7192016517549896,56.68418082994734,0.03901182438399679,1.1338459660334193,26.876307330735592
cfg_1261,14,200,0.2,0.5,2,4093,0.7055949181529441,77.515855626392,0.018938640514632787,1.0618373426690362,35.306163738979976,2,False,0.2807448758381629,1308,0.7003058103975535,-1.3861872592011828,-0.0010597761920498338,0.9966484764860157,17.957740749167318,1331,0.695717505634861,21.76217926332038,0.016350247380405997,1.0522573856633437,21.30821619559007,1453,0.7192016517549896,56.68418082994734,0.03901182438399679,1.1338459660334193,26.876307330735592
cfg_1262,14,200,0.2,0.5,3,4093,0.7055949181529441,77.515855626392,0.018938640514632787,1.0618373426690362,35.306163738979976,2,False,0.2807448758381629,1308,0.7003058103975535,-1.3861872592011828,-0.0010597761920498338,0.9966484764860157,17.957740749167318,1331,0.695717505634861,21.76217926332038,0.016350247380405997,1.0522573856633437,21.30821619559007,1453,0.7192016517549896,56.68418082994734,0.03901182438399679,1.1338459660334193,26.876307330735592
cfg_1278,14,200,0.7,0.5,1,4063,0.7019443760767905,63.792278345000696,0.015700782265567485,1.0507744083233914,32.72961195509383,2,False,0.27945658023325437,1301,0.6956187548039969,-5.9742213139108715,-0.004592022531830032,0.9856287332271606,22.247651483453087,1322,0.6928895612708018,17.827171951581782,0.013485001476234328,1.0427941552640296,23.38888650808916,1439,0.7157748436414176,51.48123579787598,0.03577570243076858,1.1213891275428642,22.92899778729868
cfg_1279,14,200,0.7,0.5,2,4063,0.7019443760767905,63.792278345000696,0.015700782265567485,1.0507744083233914,32.72961195509383,2,False,0.27945658023325437,1301,0.6956187548039969,-5.9742213139108715,-0.004592022531830032,0.9856287332271606,22.247651483453087,1322,0.6928895612708018,17.827171951581782,0.013485001476234328,1.0427941552640296,23.38888650808916,1439,0.7157748436414176,51.48123579787598,0.03577570243076858,1.1213891275428642,22.92899778729868
cfg_1280,14,200,0.7,0.5,3,4063,0.7019443760767905,63.792278345000696,0.015700782265567485,1.0507744083233914,32.72961195509383,2,False,0.27945658023325437,1301,0.6956187548039969,-5.9742213139108715,-0.004592022531830032,0.9856287332271606,22.247651483453087,1322,0.6928895612708018,17.827171951581782,0.013485001476234328,1.0427941552640296,23.38888650808916,1439,0.7157748436414176,51.48123579787598,0.03577570243076858,1.1213891275428642,22.92899778729868
cfg_1764,14,800,0.2,0.5,1,2407,0.7012879102617366,42.19565118424971,0.017530391019630127,1.0568408065391757,31.33275288582822,2,False,0.5542542140932205,792,0.6893939393939394,-7.2800880017000935,-0.009192030305176886,0.9715901130506835,14.270135863276375,761,0.7030223390275953,23.387117485277994,0.030732086051613657,1.1012485595100474,14.890154738541597,854,0.7107728337236534,26.086415204022376,0.030546153634686622,1.1022560456071417,22.910857672414917
cfg_1765,14,800,0.2,0.5,2,2407,0.7012879102617366,42.19565118424971,0.017530391019630127,1.0568408065391757,31.33275288582822,2,False,0.5542542140932205,792,0.6893939393939394,-7.2800880017000935,-0.009192030305176886,0.9715901130506835,14.270135863276375,761,0.7030223390275953,23.387117485277994,0.030732086051613657,1.1012485595100474,14.890154738541597,854,0.7107728337236534,26.086415204022376,0.030546153634686622,1.1022560456071417,22.910857672414917
cfg_1766,14,800,0.2,0.5,3,2407,0.7012879102617366,42.19565118424971,0.017530391019630127,1.0568408065391757,31.33275288582822,2,False,0.5542542140932205,792,0.6893939393939394,-7.2800880017000935,-0.009192030305176886,0.9715901130506835,14.270135863276375,761,0.7030223390275953,23.387117485277994,0.030732086051613657,1.1012485595100474,14.890154738541597,854,0.7107728337236534,26.086415204022376,0.030546153634686622,1.1022560456071417,22.910857672414917
cfg_1890,17,200,0.2,0.5,1,3655,0.7023255813953488,54.926729927719805,0.015027833085559454,1.048451128205434,27.987778125211705,2,False,0.671585998416706,1194,0.6884422110552764,-17.2758723252257,-0.014468904794996398,0.9558105553637875,27.987778125211705,1184,0.7052364864864865,36.88802275827247,0.031155424626919316,1.1029797488264992,12.851114120956876,1280,0.71328125,36.730404465340484,0.028695628488547252,1.0955252104834292,18.915209239719815
cfg_1891,17,200,0.2,0.5,2,3655,0.7023255813953488,54.926729927719805,0.015027833085559454,1.048451128205434,27.987778125211705,2,False,0.671585998416706,1194,0.6884422110552764,-17.2758723252257,-0.014468904794996398,0.9558105553637875,27.987778125211705,1184,0.7052364864864865,36.88802275827247,0.031155424626919316,1.1029797488264992,12.851114120956876,1280,0.71328125,36.730404465340484,0.028695628488547252,1.0955252104834292,18.915209239719815
cfg_1892,17,200,0.2,0.5,3,3655,0.7023255813953488,54.926729927719805,0.015027833085559454,1.048451128205434,27.987778125211705,2,False,0.671585998416706,1194,0.6884422110552764,-17.2758723252257,-0.014468904794996398,0.9558105553637875,27.987778125211705,1184,0.7052364864864865,36.88802275827247,0.031155424626919316,1.1029797488264992,12.851114120956876,1280,0.71328125,36.730404465340484,0.028695628488547252,1.0955252104834292,18.915209239719815
cfg_1908,17,200,0.7,0.5,1,3613,0.7013562136728481,58.59003661333474,0.016216450764831095,1.0523173156478012,29.217672668586456,2,False,0.6069700384286586,1176,0.685374149659864,-19.774406284977022,-0.016814971330762773,0.9490900210082097,29.217672668586456,1174,0.7035775127768313,35.5623967747323,0.03029164972294063,1.0997260555496708,14.76286115625608,1266,0.7148499210110585,44.21951143873816,0.03492852404323709,1.1179528552414775,16.86636507900533
cfg_1909,17,200,0.7,0.5,2,3613,0.7013562136728481,58.59003661333474,0.016216450764831095,1.0523173156478012,29.217672668586456,2,False,0.6069700384286586,1176,0.685374149659864,-19.774406284977022,-0.016814971330762773,0.9490900210082097,29.217672668586456,1174,0.7035775127768313,35.5623967747323,0.03029164972294063,1.0997260555496708,14.76286115625608,1266,0.7148499210110585,44.21951143873816,0.03492852404323709,1.1179528552414775,16.86636507900533
cfg_1910,17,200,0.7,0.5,3,3613,0.7013562136728481,58.59003661333474,0.016216450764831095,1.0523173156478012,29.217672668586456,2,False,0.6069700384286586,1176,0.685374149659864,-19.774406284977022,-0.016814971330762773,0.9490900210082097,29.217672668586456,1174,0.7035775127768313,35.5623967747323,0.03029164972294063,1.0997260555496708,14.76286115625608,1266,0.7148499210110585,44.21951143873816,0.03492852404323709,1.1179528552414775,16.86636507900533
