config,mes,n_trades,win_rate,net_usd,net_r,profit_factor_r
A,2025-04,100,0.45,-49.9512861077062,-12.900135217400637,0.7715298811221094
A,2025-05,197,0.41624365482233505,-297.3993706908318,-39.67429531616083,0.6659520335623842
A,2025-06,163,0.4662576687116564,-108.7647868399218,-17.31786835825066,0.808132362948796
A,2025-07,193,0.5025906735751295,-47.182251841432745,-9.559077272810903,0.9056290964474185
A,2025-08,194,0.5412371134020618,-17.263499749076733,1.7825358305037804,1.0183936270427707
A,2025-09,193,0.49222797927461137,-75.4012649887281,-11.671903464586654,0.8854466307484001
A,2025-10,191,0.5706806282722513,287.34331250045784,22.90638436767374,1.2733792720430746
A,2025-11,153,0.5526315789473685,148.0985986862566,11.911873334924408,1.1701318137879408
A,2025-12,186,0.532258064516129,8.60086015162991,6.3241982665439105,1.070631019024369
A,2026-01,185,0.518918918918919,41.87114930037126,3.0373088241477024,1.0333735575716676
A,2026-02,132,0.5343511450381679,161.4680400622193,6.343585696281704,1.1014496582580182
A,2026-03,183,0.4371584699453552,-680.476032444603,-28.468437843708625,0.7322754729997188
A,2026-04,192,0.5,10.291285620576595,-6.670469167000612,0.9330419434986912
A,2026-05,210,0.4238095238095238,-436.8682326613782,-40.761146070972124,0.675632265211321
A,2026-06,229,0.5109170305676856,-198.5661693109555,-3.318133821155353,0.9713370492810346
A,2026-07,192,0.484375,-169.5012311719738,-13.567698298584805,0.8679606698572475
A,2026-08,189,0.5714285714285714,40.401736839482645,19.611763116884692,1.2343902727634741
A,2026-09,66,0.5230769230769231,-8.024908684781124,0.3577001638224291,1.0110071471724382
B,2025-04,38,0.6216216216216216,-29.663085631244485,4.968693287191578,1.3002480681480986
B,2025-05,76,0.4533333333333333,46.18056219601937,-12.802509177023937,0.716390112253763
B,2025-06,66,0.5,17.99838993840634,-6.259422785144048,0.8336124734795749
B,2025-07,90,0.4,-135.74913848500265,-26.437710625898596,0.5581651749450071
B,2025-08,90,0.449438202247191,-16.502313726414084,-148.48143917004387,0.1926803316804309
B,2025-09,79,0.5443037974683544,51.46104500668321,-1.5204107138769665,0.9635132278711309
B,2025-10,76,0.4266666666666667,-203.3762064769063,-13.954349454637033,0.6923020788039449
B,2025-11,58,0.5,32.17794381356048,-3.3237382181584643,0.8936212913703498
B,2025-12,79,0.44871794871794873,37.73242308699365,-15.781824599217858,0.6798575775025948
B,2026-01,73,0.3972602739726027,-763.2108869710737,-22.024200129766786,0.5593741245171472
B,2026-02,52,0.5686274509803921,240.4911874450035,5.250541484115486,1.2287797761088795
B,2026-03,70,0.6176470588235294,505.9181749497639,12.124705678533147,1.4305267390247014
B,2026-04,59,0.5254237288135594,117.78123509923745,-14.060594480822541,0.6805868116874213
B,2026-05,86,0.3953488372093023,-152.94899445594353,-28.465482034840193,0.5184819850910412
B,2026-06,83,0.3493975903614458,-127.33558766265355,-43.28005636809157,0.38997903206547985
B,2026-07,68,0.47761194029850745,152.90927751079602,-10.6616967811101,0.7364541663420493
B,2026-08,74,0.4594594594594595,-180.38746608366478,-48.4601986823837,0.40051075052816054
B,2026-09,31,0.36666666666666664,-163.47704363335532,-10.159527906383614,0.5087885679449198
