config,bar,timestamp_utc,dir,valido,match_status
A,3107,1746065703,1,True,same
A,3137,1746074703,1,True,same
A,3138,1746075003,-1,True,A_only
A,3157,1746080703,-1,True,A_only
A,3206,1746095403,1,True,same
A,3217,1746098703,-1,True,A_only
A,3218,1746099003,1,True,same
A,3228,1746102003,1,True,same
A,3237,1746104703,-1,True,A_only
A,3245,1746107103,-1,True,A_only
A,3297,1746122703,1,True,same
A,3338,1746138603,-1,True,same
A,3340,1746139203,1,True,A_only
A,3363,1746146103,-1,True,same
A,3370,1746148203,1,True,A_only
A,3410,1746160203,-1,True,same
A,3413,1746161103,1,True,A_only
A,3414,1746161403,-1,True,A_only
A,3422,1746163803,1,True,A_only
A,3425,1746164703,-1,True,A_only
A,3435,1746167703,-1,True,same
A,3440,1746169203,1,True,A_only
A,3453,1746173103,-1,True,same
A,3477,1746180303,-1,True,same
A,3498,1746186603,-1,True,same
A,3516,1746192003,1,True,same
A,3562,1746205803,1,True,same
A,3581,1746211503,1,True,same
A,3582,1746211803,-1,True,A_only
A,3588,1746213603,-1,True,A_only
A,3617,1746399003,-1,True,same
A,3619,1746399603,1,True,A_only
A,3631,1746403203,-1,True,same
A,3657,1746411003,-1,True,same
A,3668,1746414303,-1,True,same
A,3689,1746420603,1,True,A_only
A,3690,1746420903,-1,True,same
A,3699,1746423603,-1,True,A_only
A,3703,1746424803,-1,True,A_only
A,3715,1746428403,-1,True,A_only
A,3728,1746432303,-1,True,A_only
A,3769,1746444603,-1,True,same
A,3775,1746446403,1,True,A_only
A,3787,1746450003,-1,True,same
A,3801,1746454203,-1,True,same
A,3803,1746454803,1,True,A_only
A,3817,1746459003,1,True,A_only
A,3829,1746462603,1,True,A_only
A,3870,1746474903,-1,True,same
A,3871,1746475203,1,True,A_only
A,3884,1746482703,-1,True,same
A,3890,1746484503,1,True,A_only
A,3918,1746492903,1,True,A_only
A,3938,1746498903,-1,True,same
A,3968,1746507903,-1,True,same
A,3976,1746510303,1,True,A_only
A,4002,1746518103,-1,True,A_only
A,4003,1746518403,1,True,A_only
A,4017,1746522603,-1,True,A_only
A,4031,1746526803,-1,True,A_only
A,4044,1746530703,-1,True,same
A,4050,1746532503,1,True,A_only
A,4057,1746534603,1,True,A_only
A,4070,1746538503,-1,True,same
A,4074,1746539703,-1,True,same
A,4078,1746540903,-1,True,same
A,4097,1746546603,-1,True,same
A,4123,1746554403,-1,True,same
A,4126,1746555303,1,True,A_only
A,4135,1746558003,-1,True,A_only
A,4151,1746562803,-1,True,same
A,4159,1746568803,-1,False,same
A,4173,1746573003,1,True,same
A,4174,1746573303,-1,True,A_only
A,4197,1746580203,1,True,same
A,4203,1746582003,1,True,same
A,4240,1746593103,-1,True,A_only
A,4241,1746593403,1,True,A_only
A,4242,1746593703,-1,True,A_only
A,4244,1746594303,1,True,A_only
A,4249,1746595803,-1,True,A_only
A,4250,1746596103,1,True,A_only
A,4263,1746600003,-1,True,A_only
A,4271,1746602403,-1,True,A_only
A,4304,1746612303,1,True,A_only
A,4323,1746618003,1,True,A_only
A,4324,1746618303,-1,True,A_only
A,4332,1746620703,-1,True,A_only
A,4346,1746624903,1,True,A_only
A,4351,1746626403,-1,True,same
A,4358,1746628503,1,True,A_only
A,4402,1746641703,-1,True,A_only
A,4403,1746642003,1,True,A_only
A,4409,1746643803,1,True,A_only
A,4435,1746655203,1,True,same
A,4436,1746655503,-1,True,A_only
A,4438,1746656103,1,True,A_only
A,4439,1746656403,-1,True,A_only
A,4470,1746665703,-1,True,A_only
A,4492,1746672303,-1,True,same
A,4545,1746688203,1,True,same
A,4546,1746688503,-1,True,same
A,4625,1746712203,-1,True,A_only
A,4628,1746713103,1,True,same
A,4674,1746726903,1,True,same
A,4679,1746728403,-1,True,A_only
A,4680,1746728703,1,True,same
A,4685,1746730203,1,True,A_only
A,4695,1746733203,1,True,same
A,4725,1746745803,-1,True,same
A,4727,1746746403,1,True,A_only
A,4765,1746757803,1,True,same
A,4801,1746768603,-1,True,same
A,4806,1746770103,1,True,same
A,4824,1746775503,-1,True,same
A,4873,1746790203,-1,True,same
A,4874,1746790503,1,True,A_only
A,4901,1746798603,-1,True,same
A,4907,1746800403,1,True,A_only
A,4931,1746807603,-1,True,same
A,4952,1746813903,-1,True,same
A,4962,1746816903,1,True,A_only
A,4980,1746822303,1,True,A_only
A,5003,1747005903,1,True,same
A,5004,1747006203,-1,True,A_only
A,5030,1747014003,1,True,same
A,5081,1747029303,1,True,same
A,5086,1747030803,-1,True,A_only
A,5113,1747038903,1,True,same
A,5142,1747047603,1,True,same
A,5149,1747049703,-1,True,A_only
A,5150,1747050003,1,True,same
A,5156,1747051803,-1,True,A_only
A,5157,1747052103,1,True,A_only
A,5172,1747056603,-1,True,A_only
A,5178,1747058403,-1,True,A_only
A,5231,1747074303,1,True,A_only
A,5232,1747074603,-1,True,A_only
A,5250,1747080003,-1,True,A_only
A,5263,1747087503,-1,True,same
A,5264,1747087803,1,True,A_only
A,5275,1747091103,1,True,A_only
A,5290,1747095603,-1,True,same
A,5300,1747098603,-1,True,same
A,5312,1747102203,1,True,same
A,5355,1747115103,-1,True,same
A,5356,1747115403,1,True,A_only
