config,rr,pct_overnight,n_overnight,swap_total_usd,swap_avg_per_overnight_usd,commission_total_usd,spread_total_usd,total_costs_usd,gross_pnl_usd,net_pnl_usd,r_min,r_max,r_p1,r_p5,r_p50,r_p95,r_p99,winner_r_mean,winner_r_median,winner_r_p10,winner_r_p90,loser_r_mean,loser_r_median,loser_r_p10,loser_r_p90
A_RR1,1.0,0.06790622473726758,168,-82.75450000000002,-0.4925863095238095,0.0,510.66450000005534,593.4190000000547,-782.2392872648047,-1375.6582872648594,-1.7748311705673516,0.9989945922719322,-1.1055778820839572,-1.0605583283406612,-1.004833666893387,0.9888367522338468,0.9939021511861957,0.9660425876880187,0.9734078794273033,0.9385064731387953,0.9888498366943392,-1.0338184191548097,-1.0266734161172744,-1.0599643127007845,-1.0119494246789187
A_RR2,2.0,0.13179813816756492,269,-136.67840000000007,-0.5080981412639405,0.0,420.06700000004093,556.7454000000419,-471.7346879340935,-1028.4800879341353,-1.7748311705673516,1.9982897152963233,-1.1242381399709889,-1.0610084835484468,-1.0170630401422764,1.9862473740843627,1.9911198016487284,1.964169331289129,1.973255665297101,1.9383942439418185,1.988505624733467,-1.0331479105578298,-1.0254837464217956,-1.0554465912867586,-1.0117938084733789
A_RR3,3.0,0.18050065876152832,274,-148.4242,-0.5416941605839417,0.0,313.0105000000258,461.43470000002685,-634.7154547396431,-1096.15015473967,-1.7748311705673516,2.9982897152963233,-1.1669309358636648,-1.0706585035783378,-1.0195007844705144,2.9829510824597256,2.9909164875239482,2.963938612533929,2.9722433070904635,2.932316140950268,2.9884738610880195,-1.0341864124686522,-1.0250769766923333,-1.0573856979766487,-1.0115408831303132
A_RR4,4.0,0.20997586484312147,261,-151.09369999999984,-0.5789030651340995,0.0,255.92550000001205,407.0192000000121,-123.52248397594212,-530.5416839759542,-1.7748311705673516,3.9969479054818993,-1.1672536446385584,-1.073893411781591,-1.020289944481516,3.979618026483344,3.989006534723767,3.9610646827908402,3.9708703897676205,3.9239656183019003,3.987196985559968,-1.0341819947271522,-1.0248709261289868,-1.0597029349398308,-1.0113095522204312
A_RR5,5.0,0.2445290199809705,257,-156.96659999999986,-0.6107649805447468,0.0,215.7275000000236,372.6941000000241,734.510897884235,361.81679788421087,-1.7748311705673516,4.994704682763722,-1.1714942217077045,-1.077489056101934,-1.0205887568527516,4.975866222933636,4.987863664286476,4.954454169515219,4.968836303563684,4.905914636132494,4.986288394975715,-1.0344699773430721,-1.024058285390011,-1.0601081819561857,-1.0115408831303132
A_RR7,7.0,0.27586206896551724,240,-164.97509999999977,-0.6873962499999994,0.0,180.2825000000275,345.25760000002583,1581.315323989853,1236.057723989827,-1.7748311705673516,6.991771393822436,-1.2254961760836471,-1.0821345931892559,-1.0216235614186355,6.966101204131705,6.984508331973504,6.940579117150846,6.964753782389788,6.842953831834249,6.984116941054134,-1.0368482464143354,-1.0251618107888425,-1.0614494646635029,-1.0117763137561402
B_referencia_motor_corregido,3.0,0.2485981308411215,266,-159.10219999999987,-0.5981285714285713,0.0,221.37600000001754,380.4782000000181,-324.4145711830888,-704.8927711831069,-1.976380434331503,2.9974338888497924,-1.1596404249992063,-1.0599101276063763,-1.015139709694962,2.9849425728248433,2.991141607779749,2.9665320155596833,2.9762354233537587,2.9344568693627426,2.9888210657491476,-1.0283844365078978,-1.019635511560239,-1.044771962583594,-1.0091764227258222
