period,group,n_trades,pct_of_period,wins,losses,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_dd_r,max_dd_usd,max_losing_streak,muestra_insuficiente
completo,A_baseline,2474,100.0,1220,1251,0.4937272359368677,0.9116993043082539,-0.04616633252160961,-114.21550665846217,-1375.65828726486,0.9660425876880187,-1.0338184191548097,140.66017487172326,1667.2320532154056,10,False
completo,D_aligned,321,12.974939369442199,176,144,0.55,1.1447100308974314,0.06709418961754744,21.53723486723273,127.2044333296416,0.9679972612307876,-1.0323157627582025,7.788320540792844,218.23069294532917,5,False
completo,E_against,325,13.136620856911884,138,187,0.4246153846153846,0.691891328005869,-0.18292305028180586,-59.44999134158691,-520.5758976304445,0.9674013174733508,-1.031825524881868,66.13569470128127,594.0998666668613,10,False
completo,F_neutral,1828,73.88843977364591,906,920,0.49616648411829134,0.9198249554646184,-0.04174111060399781,-76.30275018410799,-982.2868229640573,0.9654559130148364,-1.0344586949701917,101.86942484514995,1388.6924763299119,10,False
sub1,A_baseline,831,100.0,392,439,0.4717208182912154,0.8211183794398006,-0.09830561867444054,-81.6919691184601,-561.9576472361284,0.9566065496294387,-1.0402773042669706,84.86177129645574,584.747906545646,10,False
sub1,D_aligned,111,13.357400722021662,60,51,0.5405405405405406,1.0798560191856685,0.03827637979168271,4.248678156876781,-88.21586620760489,0.9575484995937641,-1.0432202317401775,7.788320540792844,119.67924581933495,3,False
sub1,E_against,110,13.237063778580024,44,66,0.4,0.6155657821209833,-0.2396299503619703,-26.359294539816734,-88.84682640884749,0.9592538264934064,-1.0388858015988882,31.106281391583448,129.09946777519792,7,False
sub1,F_neutral,610,73.40553549939831,288,322,0.4721311475409836,0.8220979744155558,-0.09767434874675433,-59.58135273552014,-384.894954619676,0.956005864977098,-1.0400964032575295,69.08769928562366,427.98659451802905,10,False
sub2,A_baseline,769,100.0,402,365,0.5241199478487614,1.0511818106151198,0.024906879113612727,19.153390038368187,-25.647652644658024,0.9768154081601332,-1.0252673864083066,25.213907588212056,748.7667831090353,6,False
sub2,D_aligned,104,13.52405721716515,61,43,0.5865384615384616,1.3563799442238633,0.15076577765383223,15.679640875998551,312.1505465491565,0.9783052417509958,-1.0231855551351674,7.328579082737626,128.1087474632841,5,False
sub2,E_against,123,15.99479843953186,53,70,0.43089430894308944,0.7236298230915282,-0.16089499534959567,-19.790084428000267,-347.4667696557956,0.9776807360873198,-1.0229594777232605,23.295673191971424,392.55773379138094,7,False
sub2,F_neutral,542,70.48114434330299,288,252,0.5333333333333333,1.089954267590178,0.042922202196254436,23.263833590369906,9.668570461980948,0.9763406087532461,-1.0262637052682206,18.940228166986905,633.1550806833765,6,False
sub3,A_baseline,874,100.0,426,447,0.4879725085910653,0.8882852626427467,-0.059126919426052936,-51.67692757837027,-788.0529873840736,0.9645596137189419,-1.0344575162202119,81.14229122861042,1031.1893266874795,8,False
sub3,D_aligned,106,12.128146453089245,55,50,0.5238095238095238,1.0311629816099428,0.015178451267522609,1.6089158343573966,-96.73024701191002,0.9679634228033099,-1.0290451829523979,7.4534961278471314,188.01675628539698,5,False
