ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,entrada_viva,una_operacion_a_la_vez,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
8,200,0.7,2.5,1,10,True,500,0.01,False,True,9895,2556,722,1826,230,7,24,7085,2555,0.28335949764521196,0.5758790254932526,0.054800019119155025,23.702199262192153
8,200,0.7,2.5,2,10,True,500,0.01,False,True,9895,2556,722,1826,230,7,24,7085,2555,0.28335949764521196,0.5758790254932526,0.054800019119155025,23.702199262192153
8,200,0.7,2.5,3,10,True,500,0.01,False,True,9895,2556,722,1826,230,7,24,7085,2555,0.28335949764521196,0.5758790254932526,0.054800019119155025,23.702199262192153
8,200,0.7,3.0,1,10,True,500,0.01,False,True,9895,2155,500,1644,155,10,24,7561,2154,0.2332089552238806,0.600891479989617,0.06497023781946049,32.65074626329442
8,200,0.7,3.0,2,10,True,500,0.01,False,True,9895,2155,500,1644,155,10,24,7561,2154,0.2332089552238806,0.600891479989617,0.06497023781946049,32.65074626329442
8,200,0.7,3.0,3,10,True,500,0.01,False,True,9895,2155,500,1644,155,10,24,7561,2154,0.2332089552238806,0.600891479989617,0.06497023781946049,32.65074626329442
8,200,1.2,0.5,1,10,True,500,0.01,False,True,9895,5213,3541,1672,2542,0,22,2118,5213,0.6792633800115097,0.13663375386467336,0.011268608522072026,32.30515512064744
8,200,1.2,0.5,2,10,True,500,0.01,False,True,9895,5213,3541,1672,2542,0,22,2118,5213,0.6792633800115097,0.13663375386467336,0.011268608522072026,32.30515512064744
8,200,1.2,0.5,3,10,True,500,0.01,False,True,9895,5213,3541,1672,2542,0,22,2118,5213,0.6792633800115097,0.13663375386467336,0.011268608522072026,32.30515512064744
8,200,1.2,1.0,1,10,True,500,0.01,False,True,9895,4581,2280,2300,1242,0,22,4050,4580,0.4978165938864629,0.22113669871629563,0.019782264476081935,35.968059366925694
8,200,1.2,1.0,2,10,True,500,0.01,False,True,9895,4581,2280,2300,1242,0,22,4050,4580,0.4978165938864629,0.22113669871629563,0.019782264476081935,35.968059366925694
8,200,1.2,1.0,3,10,True,500,0.01,False,True,9895,4581,2280,2300,1242,0,22,4050,4580,0.4978165938864629,0.22113669871629563,0.019782264476081935,35.968059366925694
8,200,1.2,1.5,1,10,True,500,0.01,False,True,9895,3740,1493,2245,665,1,22,5468,3739,0.39941144997324773,0.38455482392987117,0.032162728363278284,37.09910187932314
8,200,1.2,1.5,2,10,True,500,0.01,False,True,9895,3740,1493,2245,665,1,22,5468,3739,0.39941144997324773,0.38455482392987117,0.032162728363278284,37.09910187932314
8,200,1.2,1.5,3,10,True,500,0.01,False,True,9895,3740,1493,2245,665,1,22,5468,3739,0.39941144997324773,0.38455482392987117,0.032162728363278284,37.09910187932314
8,200,1.2,2.0,1,10,True,500,0.01,False,True,9895,3000,984,2013,376,2,22,6497,2999,0.3283283283283283,0.49891417808476235,0.04244782514596482,26.398903460526753
8,200,1.2,2.0,2,10,True,500,0.01,False,True,9895,3000,984,2013,376,2,22,6497,2999,0.3283283283283283,0.49891417808476235,0.04244782514596482,26.398903460526753
8,200,1.2,2.0,3,10,True,500,0.01,False,True,9895,3000,984,2013,376,2,22,6497,2999,0.3283283283283283,0.49891417808476235,0.04244782514596482,26.398903460526753
8,200,1.2,2.5,1,10,True,500,0.01,False,True,9895,2456,683,1765,211,7,22,7206,2455,0.2790032679738562,0.567524590542163,0.05557873088158605,22.545665936009073
8,200,1.2,2.5,2,10,True,500,0.01,False,True,9895,2456,683,1765,211,7,22,7206,2455,0.2790032679738562,0.567524590542163,0.05557873088158605,22.545665936009073
8,200,1.2,2.5,3,10,True,500,0.01,False,True,9895,2456,683,1765,211,7,22,7206,2455,0.2790032679738562,0.567524590542163,0.05557873088158605,22.545665936009073
8,200,1.2,3.0,1,10,True,500,0.01,False,True,9895,2061,488,1562,145,10,22,7667,2060,0.23804878048780487,0.6327911794892317,0.06817011639930103,54.46061089132718
8,200,1.2,3.0,2,10,True,500,0.01,False,True,9895,2061,488,1562,145,10,22,7667,2060,0.23804878048780487,0.6327911794892317,0.06817011639930103,54.46061089132718
8,200,1.2,3.0,3,10,True,500,0.01,False,True,9895,2061,488,1562,145,10,22,7667,2060,0.23804878048780487,0.6327911794892317,0.06817011639930103,54.46061089132718
8,200,1.7,0.5,1,10,True,500,0.01,False,True,9895,5140,3483,1657,2463,0,19,2273,5140,0.6776264591439689,0.12917788872575026,0.011320760403289169,33.935097551857794
8,200,1.7,0.5,2,10,True,500,0.01,False,True,9895,5140,3483,1657,2463,0,19,2273,5140,0.6776264591439689,0.12917788872575026,0.011320760403289169,33.935097551857794
8,200,1.7,0.5,3,10,True,500,0.01,False,True,9895,5140,3483,1657,2463,0,19,2273,5140,0.6776264591439689,0.12917788872575026,0.011320760403289169,33.935097551857794
8,200,1.7,1.0,1,10,True,500,0.01,False,True,9895,4486,2232,2253,1178,0,19,4212,4485,0.49765886287625416,0.22554966615198246,0.020978871908474268,29.191337566366258
8,200,1.7,1.0,2,10,True,500,0.01,False,True,9895,4486,2232,2253,1178,0,19,4212,4485,0.49765886287625416,0.22554966615198246,0.020978871908474268,29.191337566366258
8,200,1.7,1.0,3,10,True,500,0.01,False,True,9895,4486,2232,2253,1178,0,19,4212,4485,0.49765886287625416,0.22554966615198246,0.020978871908474268,29.191337566366258
8,200,1.7,1.5,1,10,True,500,0.01,False,True,9895,3632,1440,2190,611,1,19,5633,3631,0.39669421487603307,0.36988156377736037,0.03258491583644023,23.612934823025853
8,200,1.7,1.5,2,10,True,500,0.01,False,True,9895,3632,1440,2190,611,1,19,5633,3631,0.39669421487603307,0.36988156377736037,0.03258491583644023,23.612934823025853
